"text","intent"
"Πήρα την ελληνική ιθαγένεια, πώς εγγράφομαι στον Δήμο;","εγγραφή_αλλοδαπών_ελληνική_ιθαγένεια"
"Ποια δικαιολογητικά χρειάζονται για εγγραφή μετά την ιθαγένεια;","εγγραφή_αλλοδαπών_ελληνική_ιθαγένεια"
"Πού δηλώνω την απόκτηση ελληνικής ιθαγένειας;","εγγραφή_αλλοδαπών_ελληνική_ιθαγένεια"
"Το παιδί μου απέκτησε ιθαγένεια λόγω φοίτησης, τι κάνω;","εγγραφή_αλλοδαπών_ελληνική_ιθαγένεια"
"Πόσο καιρό παίρνει η εγγραφή μετά την ιθαγένεια;","εγγραφή_αλλοδαπών_ελληνική_ιθαγένεια"
"Ποιο τμήμα κάνει την εγγραφή αλλοδαπών με ελληνική ιθαγένεια;","εγγραφή_αλλοδαπών_ελληνική_ιθαγένεια"
"Απέκτησα ιθαγένεια με πολιτογράφηση, ποια είναι η διαδικασία;","εγγραφή_αλλοδαπών_ελληνική_ιθαγένεια"
"Χρειάζεται απόφαση για την εγγραφή μετά την ιθαγένεια;","εγγραφή_αλλοδαπών_ελληνική_ιθαγένεια"
"Γίνεται ηλεκτρονικά η εγγραφή μετά την απόκτηση ιθαγένειας;","εγγραφή_αλλοδαπών_ελληνική_ιθαγένεια"
"Ποια η διαφορά ιθαγένειας λόγω γέννησης και λόγω φοίτησης;","εγγραφή_αλλοδαπών_ελληνική_ιθαγένεια"
"Πόσο κοστίζει η εγγραφή μετά την ιθαγένεια;","εγγραφή_αλλοδαπών_ελληνική_ιθαγένεια"
"Το τέκνο απέκτησε ιθαγένεια λόγω γέννησης στην Ελλάδα.","εγγραφή_αλλοδαπών_ελληνική_ιθαγένεια"
"Χρειάζομαι μετάφραση εγγράφων για την ιθαγένεια;","εγγραφή_αλλοδαπών_ελληνική_ιθαγένεια"
"Πότε δημοσιεύεται η απόφαση ιθαγένειας;","εγγραφή_αλλοδαπών_ελληνική_ιθαγένεια"
