text,intent
Θα ήθελα ένα πιστοποιητικό οικογενειακής κατάστασης.,πιστοποιητικό_οικογενειακής_κατάστασης
Μπορώ να βγάλω το χαρτί που δείχνει την οικογενειακή μου κατάσταση;,πιστοποιητικό_οικογενειακής_κατάστασης
Χρειάζομαι πιστοποιητικό οικογενειακής κατάστασης για μια αίτηση.,πιστοποιητικό_οικογενειακής_κατάστασης
Μπορείτε να μου δώσετε το πιστοποιητικό που φαίνεται η οικογενειακή μου κατάσταση;,πιστοποιητικό_οικογενειακής_κατάστασης
Πού κάνω αίτηση για οικογενειακή κατάσταση;,πιστοποιητικό_οικογενειακής_κατάστασης
Χρειάζομαι το έγγραφο που αναφέρει ποιοι είναι στην οικογένειά μου.,πιστοποιητικό_οικογενειακής_κατάστασης
Ψάχνω να κατεβάσω το πιστοποιητικό οικογενειακής κατάστασης από το gov.gr.,πιστοποιητικό_οικογενειακής_κατάστασης
Θέλω ένα χαρτί που να φαίνεται ότι είμαι παντρεμένος και έχω δύο παιδιά.,πιστοποιητικό_οικογενειακής_κατάστασης
Υπάρχει τρόπος να το πάρω ηλεκτρονικά το πιστοποιητικό οικογενειακής κατάστασης;,πιστοποιητικό_οικογενειακής_κατάστασης
Είναι για μια δημόσια υπηρεσία ζητάνε οικογενειακή κατάσταση.,πιστοποιητικό_οικογενειακής_κατάστασης
Θέλω να βγάλω το πιστοποιητικό που δείχνει την οικογενειακή μου σύνθεση.,πιστοποιητικό_οικογενειακής_κατάστασης
Πού μπορώ να βρω το πιστοποιητικό οικογενειακής κατάστασης;,πιστοποιητικό_οικογενειακής_κατάστασης
Πώς μπορώ να πάρω πιστοποιητικό για την οικογένειά μου;,πιστοποιητικό_οικογενειακής_κατάστασης
Μπορώ να το εκδώσω online το πιστοποιητικό οικογενειακής κατάστασης;,πιστοποιητικό_οικογενειακής_κατάστασης
Χρειάζομαι ένα χαρτί που να δείχνει ότι είμαι άγαμος.,πιστοποιητικό_οικογενειακής_κατάστασης
Πού υποβάλλω αίτηση για να βγάλω την οικογενειακή μου κατάσταση;,πιστοποιητικό_οικογενειακής_κατάστασης
Θα ήθελα ένα επίσημο έγγραφο που να αναφέρει τα μέλη της οικογένειάς μου.,πιστοποιητικό_οικογενειακής_κατάστασης
Χρειάζομαι το πιστοποιητικό οικογενειακής κατάστασης για τον ΟΑΕΔ.,πιστοποιητικό_οικογενειακής_κατάστασης
Γίνεται να το βγάλω από το ΚΕΠ το πιστοποιητικό οικογενειακής κατάστασης;,πιστοποιητικό_οικογενειακής_κατάστασης
Πού μπορώ να εκτυπώσω την οικογενειακή μου κατάσταση από το διαδίκτυο;,πιστοποιητικό_οικογενειακής_κατάστασης
Χρειάζομαι ένα έγγραφο που να βεβαιώνει την οικογενειακή μου κατάσταση.,πιστοποιητικό_οικογενειακής_κατάστασης
Πώς μπορώ να εκδώσω επίσημα την οικογενειακή μου κατάσταση;,πιστοποιητικό_οικογενειακής_κατάστασης
Θέλω να κατεβάσω το πιστοποιητικό που δείχνει πόσα μέλη έχει η οικογένειά μου.,πιστοποιητικό_οικογενειακής_κατάστασης
Γίνεται να μου στείλετε την οικογενειακή μου κατάσταση με email;,πιστοποιητικό_οικογενειακής_κατάστασης
Πού μπορώ να κάνω αίτηση για να πάρω την κατάσταση της οικογένειάς μου;,πιστοποιητικό_οικογενειακής_κατάστασης
Υπάρχει δυνατότητα να εκδοθεί ψηφιακά το έγγραφο για την οικογενειακή μου σύνθεση;,πιστοποιητικό_οικογενειακής_κατάστασης
Θα ήθελα να πάρω το αποδεικτικό της οικογενειακής μου κατάστασης για δικαστική χρήση.,πιστοποιητικό_οικογενειακής_κατάστασης
Χρειάζομαι βεβαίωση για την οικογενειακή μου κατάσταση για χρήση στο εξωτερικό.,πιστοποιητικό_οικογενειακής_κατάστασης
Ποια είναι η διαδικασία για να αποκτήσω πιστοποιητικό οικογενειακής σύνθεσης;,πιστοποιητικό_οικογενειακής_κατάστασης
Πώς μπορώ να αποδείξω επίσημα ότι είμαι γονέας δύο παιδιών;,πιστοποιητικό_οικογενειακής_κατάστασης
Μπορώ να πάρω οικογενειακή κατάσταση για συγγενή μου;,πιστοποιητικό_οικογενειακής_κατάστασης
