"text","intent"
"Θέλω αντίγραφα από τον φάκελο καταγεγραμμένου αυθαιρέτου.","αντίγραφα_φακέλου_αυθαιρέτου"
"Πού ζητάω αντίγραφα φακέλου αυθαιρέτου;","αντίγραφα_φακέλου_αυθαιρέτου"
"Ποια δικαιολογητικά χρειάζονται για τον φάκελο του αυθαιρέτου;","αντίγραφα_φακέλου_αυθαιρέτου"
"Πόσο κοστίζουν τα αντίγραφα φακέλου αυθαιρέτου;","αντίγραφα_φακέλου_αυθαιρέτου"
"Πόσο καιρό παίρνει η χορήγηση του φακέλου αυθαιρέτου;","αντίγραφα_φακέλου_αυθαιρέτου"
"Ποιο τμήμα κρατάει τους φακέλους των αυθαιρέτων;","αντίγραφα_φακέλου_αυθαιρέτου"
"Γίνεται ηλεκτρονικά η αίτηση για φάκελο αυθαιρέτου;","αντίγραφα_φακέλου_αυθαιρέτου"
"Το αυθαίρετο έχει καταγραφεί, πού βρίσκω τον φάκελο;","αντίγραφα_φακέλου_αυθαιρέτου"
"Χρειάζεται εξουσιοδότηση για τον φάκελο του αυθαιρέτου;","αντίγραφα_φακέλου_αυθαιρέτου"
"Μπορεί ο μηχανικός να ζητήσει τον φάκελο του αυθαιρέτου;","αντίγραφα_φακέλου_αυθαιρέτου"
"Ποια στοιχεία περιλαμβάνει ο φάκελος του αυθαιρέτου;","αντίγραφα_φακέλου_αυθαιρέτου"
"Χρειάζεται τίτλος ιδιοκτησίας για τον φάκελο αυθαιρέτου;","αντίγραφα_φακέλου_αυθαιρέτου"
"Πόσα αντίγραφα του φακέλου αυθαιρέτου μπορώ να πάρω;","αντίγραφα_φακέλου_αυθαιρέτου"
"Χρειάζομαι τον φάκελο του αυθαιρέτου για τακτοποίηση.","αντίγραφα_φακέλου_αυθαιρέτου"
"Ζητώ αντίγραφο της έκθεσης του αυθαιρέτου.","αντίγραφα_φακέλου_αυθαιρέτου"
"Χρειάζεται παράβολο για τον φάκελο του αυθαιρέτου;","αντίγραφα_φακέλου_αυθαιρέτου"
"Ποιος υπογράφει την αίτηση για τον φάκελο αυθαιρέτου;","αντίγραφα_φακέλου_αυθαιρέτου"
"Έκανα αίτηση για τον φάκελο αυθαιρέτου και περιμένω.","αντίγραφα_φακέλου_αυθαιρέτου"
"Το αυθαίρετο καταγράφηκε πριν χρόνια, υπάρχει ακόμα ο φάκελος;","αντίγραφα_φακέλου_αυθαιρέτου"
"Πού βρίσκω το έντυπο αίτησης για φάκελο αυθαιρέτου;","αντίγραφα_φακέλου_αυθαιρέτου"
"Χρειάζομαι τον φάκελο του αυθαιρέτου για τη μεταβίβαση.","αντίγραφα_φακέλου_αυθαιρέτου"
"Μπορώ να ζητήσω μόνο τα σχέδια από τον φάκελο του αυθαιρέτου;","αντίγραφα_φακέλου_αυθαιρέτου"
"Ποιος δικαιούται αντίγραφα φακέλου αυθαιρέτου;","αντίγραφα_φακέλου_αυθαιρέτου"
"Το αυθαίρετο έχει πρόστιμο, φαίνεται στον φάκελο;","αντίγραφα_φακέλου_αυθαιρέτου"
"Χρειάζεται αίτηση του ιδιοκτήτη για τον φάκελο του αυθαιρέτου;","αντίγραφα_φακέλου_αυθαιρέτου"
"Πόσο γρήγορα χορηγείται ο φάκελος του αυθαιρέτου;","αντίγραφα_φακέλου_αυθαιρέτου"
"Ο φάκελος του αυθαιρέτου δίνεται σε ψηφιακή μορφή;","αντίγραφα_φακέλου_αυθαιρέτου"
"Ζητώ φάκελο αυθαιρέτου για υπαγωγή στον νόμο τακτοποίησης.","αντίγραφα_φακέλου_αυθαιρέτου"
"Χρειάζεται ταυτότητα για την παραλαβή του φακέλου αυθαιρέτου;","αντίγραφα_φακέλου_αυθαιρέτου"
"Το αυθαίρετο αφορά προσθήκη χωρίς άδεια.","αντίγραφα_φακέλου_αυθαιρέτου"
"Πού αρχειοθετούνται οι φάκελοι των αυθαιρέτων;","αντίγραφα_φακέλου_αυθαιρέτου"
"Μπορεί ο συμβολαιογράφος να ζητήσει τον φάκελο του αυθαιρέτου;","αντίγραφα_φακέλου_αυθαιρέτου"
"Χρειάζομαι τα σχέδια του αυθαιρέτου για τον μηχανικό.","αντίγραφα_φακέλου_αυθαιρέτου"
"Το αυθαίρετο έχει ήδη τακτοποιηθεί, χρειάζομαι τον φάκελο;","αντίγραφα_φακέλου_αυθαιρέτου"
"Αν δεν βρεθεί ο φάκελος του αυθαιρέτου τι γίνεται;","αντίγραφα_φακέλου_αυθαιρέτου"
"Θέλω αντίγραφα από τον φάκελο της καταγραφής της κατασκευής.","αντίγραφα_φακέλου_αυθαιρέτου"
"Πού βρίσκω τα χαρτιά για την παράνομη κατασκευή στο ακίνητό μου;","αντίγραφα_φακέλου_αυθαιρέτου"
"Ποια δικαιολογητικά χρειάζονται για τον φάκελο της καταγραφής;","αντίγραφα_φακέλου_αυθαιρέτου"
"Πόσο κοστίζουν τα αντίγραφα από τον φάκελο της κατασκευής;","αντίγραφα_φακέλου_αυθαιρέτου"
"Πόσο καιρό παίρνει η χορήγηση αυτού του φακέλου;","αντίγραφα_φακέλου_αυθαιρέτου"
"Ποιο τμήμα κρατάει τις καταγραφές παράνομων κατασκευών;","αντίγραφα_φακέλου_αυθαιρέτου"
"Γίνεται ηλεκτρονικά η αίτηση για τα χαρτιά της καταγραφής;","αντίγραφα_φακέλου_αυθαιρέτου"
"Η κατασκευή καταγράφηκε το 2010, πού βρίσκω τα έγγραφα;","αντίγραφα_φακέλου_αυθαιρέτου"
"Χρειάζεται εξουσιοδότηση για τα έγγραφα της καταγραφής;","αντίγραφα_φακέλου_αυθαιρέτου"
"Μπορεί ο μηχανικός να ζητήσει τα έγγραφα της καταγραφής;","αντίγραφα_φακέλου_αυθαιρέτου"
"Ποια έγγραφα περιλαμβάνει ο φάκελος της καταγραφής;","αντίγραφα_φακέλου_αυθαιρέτου"
"Χρειάζεται τίτλος ιδιοκτησίας για τα έγγραφα της κατασκευής;","αντίγραφα_φακέλου_αυθαιρέτου"
"Πόσα αντίγραφα των εγγράφων μπορώ να πάρω;","αντίγραφα_φακέλου_αυθαιρέτου"
"Τα χρειάζομαι για την υπαγωγή στον νόμο τακτοποίησης.","αντίγραφα_φακέλου_αυθαιρέτου"
"Ζητώ αντίγραφο της έκθεσης της παράνομης κατασκευής.","αντίγραφα_φακέλου_αυθαιρέτου"
"Χρειάζεται παράβολο για τα έγγραφα της καταγραφής;","αντίγραφα_φακέλου_αυθαιρέτου"
"Ποιος υπογράφει την αίτηση για τα έγγραφα της κατασκευής;","αντίγραφα_φακέλου_αυθαιρέτου"
"Έκανα αίτηση για τα έγγραφα της καταγραφής και περιμένω.","αντίγραφα_φακέλου_αυθαιρέτου"
"Η καταγραφή έγινε πριν χρόνια, σώζονται τα έγγραφα;","αντίγραφα_φακέλου_αυθαιρέτου"
"Πού βρίσκω το έντυπο για τα έγγραφα της καταγραφής;","αντίγραφα_φακέλου_αυθαιρέτου"
"Τα χρειάζομαι για τη μεταβίβαση του ακινήτου.","αντίγραφα_φακέλου_αυθαιρέτου"
"Μπορώ να ζητήσω μόνο τα σχέδια της κατασκευής;","αντίγραφα_φακέλου_αυθαιρέτου"
"Ποιος δικαιούται πρόσβαση στα έγγραφα της καταγραφής;","αντίγραφα_φακέλου_αυθαιρέτου"
"Το πρόστιμο της κατασκευής φαίνεται στα έγγραφα;","αντίγραφα_φακέλου_αυθαιρέτου"
"Χρειάζεται αίτηση του ιδιοκτήτη για τα έγγραφα;","αντίγραφα_φακέλου_αυθαιρέτου"
"Πόσο γρήγορα χορηγούνται τα έγγραφα της καταγραφής;","αντίγραφα_φακέλου_αυθαιρέτου"
"Δίνονται σε ψηφιακή μορφή τα έγγραφα της κατασκευής;","αντίγραφα_φακέλου_αυθαιρέτου"
"Τα χρειάζομαι για την τακτοποίηση της κατασκευής.","αντίγραφα_φακέλου_αυθαιρέτου"
"Χρειάζεται ταυτότητα για την παραλαβή των εγγράφων;","αντίγραφα_φακέλου_αυθαιρέτου"
"Η κατασκευή είναι προσθήκη χωρίς άδεια στο δώμα.","αντίγραφα_φακέλου_αυθαιρέτου"
"Πού αρχειοθετούνται οι καταγραφές παράνομων κατασκευών;","αντίγραφα_φακέλου_αυθαιρέτου"
"Μπορεί ο συμβολαιογράφος να ζητήσει τα έγγραφα της καταγραφής;","αντίγραφα_φακέλου_αυθαιρέτου"
