"intent","ενέργεια","υπηρεσία","url","ενότητα","σημείωση"
"άδειας_διοργάνωσης_έκθεσης_ζώων_συντροφιάς","ΝΕΟ","Έκδοση άδειας διοργάνωσης έκθεσης ζώων συντροφιάς","https://eservices.heraklion.gr/e-services/katasthmata/ekthesh-zwwn.html","Αγροτικής ανάπτυξης","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"μονάδες_φροντίδας_προσχολικής_αγωγής_διαπαιδαγώγησης","ΝΕΟ","Μονάδες Φροντίδας Προσχολικής Αγωγής & Διαπαιδαγώγησης","https://eservices.heraklion.gr/e-services/idiwtikoi-paidikoi-stathmoi.html","Αδειοδότηση & έλεγχος βρεφονηπιακών σταθμών",""
"αδειοδότηση_αθλητικών_εγκαταστάσεων","ΝΕΟ","Αδειοδότηση Αθλητικών Εγκαταστάσεων","https://eservices.heraklion.gr/e-services/sports/sportslicence.html","Αδειοδότηση αθλητικών αγκαταστάσεων",""
"ένστασης_αντίρρησης_παράνομη_στάθμευση","ΝΕΟ","Κατάθεση Ένστασης - Αντίρρησης για παράνομη στάθμευση","https://eservices.heraklion.gr/e-services/municipal-police/katathesi-enstasis-antirisis-gia-paranomi-stathmeusi.html","Δημοτική αστυνομία",""
"απομάκρυνση_εγκαταλελειμμένων_οχημάτων","ΝΕΟ","Απομάκρυνση Εγκαταλελειμμένων Οχημάτων","https://eservices.heraklion.gr/e-services/municipal-police/egkatalelimena-oximata.html","Δημοτική αστυνομία",""
"επιστροφής_πινακίδων","ΝΕΟ","Αίτηση επιστροφής πινακίδων","https://eservices.heraklion.gr/e-services/municipal-police/aitisi-epistrofis-pinakidon.html","Δημοτική αστυνομία",""
"καταγγελία_λαϊκές_αγορές_πλανόδιο_υπαίθριο","ΝΕΟ","Καταγγελία (Λαϊκές αγορές-Πλανόδιο-Υπαίθριο εμπόριο","https://eservices.heraklion.gr/e-services/municipal-police/kataggelia-laikes.html","Δημοτική αστυνομία",""
"καταγγελίες_εγκαταλελειμμένα_κτίρια","ΝΕΟ","Καταγγελίες (Εγκαταλελειμμένα κτίρια)","https://eservices.heraklion.gr/e-services/municipal-police/kataggelia-paravasis-kok.html","Δημοτική αστυνομία",""
"καταγγελίες_εμπόδια_οδόστρωμα","ΝΕΟ","Καταγγελίες (Εμπόδια στο οδόστρωμα)","https://eservices.heraklion.gr/e-services/municipal-police/kataggelia-paravasis-kok.html","Δημοτική αστυνομία","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"καταγγελίες_παραβάσεις_κ_κ","ΝΕΟ","Καταγγελίες (Παραβάσεις Κ.Ο.Κ.)","https://eservices.heraklion.gr/e-services/municipal-police/kataggelia-paravasis-kok.html","Δημοτική αστυνομία","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"μη_παράδοσης_πινακίδων","ΝΕΟ","Αίτηση μη παράδοσης πινακίδων","https://eservices.heraklion.gr/e-services/municipal-police/aitisi-mi-paradosis-pinakidon.html","Δημοτική αστυνομία",""
"επίσκεψη_μαια","ΝΕΟ","Επίσκεψη στη ΜΑΙΑ","https://eservices.heraklion.gr/e-services/iatreio/maia.html","Δημοτικό ιατρείο",""
"άνοιγμα_μερίδας_δημότη_λόγω_διαζυγίου","ΝΕΟ","Άνοιγμα μερίδας δημότη – λόγω διαζυγίου (με διαζύγιο που έχει καταχωρηθεί στην ληξιαρχική πράξη γάμου μέχρι το έτος 2017)","https://eservices.heraklion.gr/e-services/municipal-roll/anigma-meridas-dimoti-logo-diazigiou.html","Δημοτολόγιο",""
"διόρθωση_ηλικίας","ΝΕΟ","Διόρθωση ηλικίας","https://eservices.heraklion.gr/e-services/municipal-roll/diorthosi-ilikias.html","Δημοτολόγιο",""
"διόρθωση_κυρίου_ονόματος","ΝΕΟ","Διόρθωση κυρίου ονόματος","https://eservices.heraklion.gr/e-services/municipal-roll/diorthosi-kiriou-onomatos.html","Δημοτολόγιο",""
"διόρθωση_τόπου_γέννησης","ΝΕΟ","Διόρθωση τόπου γέννησης","https://eservices.heraklion.gr/e-services/municipal-roll/diorthosi-topou-gennisis.html","Δημοτολόγιο",""
"εγγραφή_αλλοδαπών_που_αποκτούν_ελληνική","ΝΕΟ","Εγγραφή Αλλοδαπών που αποκτούν την Ελληνική Ιθαγένεια με πολιτογράφηση και τέκνων λόγω γέννησης - φοίτησης, φοίτησης","https://eservices.heraklion.gr/e-services/municipal-roll/record-naturalization.html","Δημοτολόγιο","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"μεταδημότευση_αγάμου","ΝΕΟ","Μεταδημότευση αγάμου","https://eservices.heraklion.gr/e-services/municipal-roll/metadimotefsi-unmarried.html","Δημοτολόγιο","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"μεταδημότευση_λόγω_αρχικής_δημοτικότητας","ΝΕΟ","Μεταδημότευση λόγω αρχικής δημοτικότητας","https://eservices.heraklion.gr/e-services/municipal-roll/metadimoteusi-logo-arxis-dimotikotitas.html","Δημοτολόγιο","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"μεταδημότευση_λόγω_διετούς_κατοικίας","ΝΕΟ","Μεταδημότευση λόγω διετούς κατοικίας","https://eservices.heraklion.gr/e-services/municipal-roll/metadimoteusi-logo-dietous-katikias.html","Δημοτολόγιο",""
"μεταδημότευση_λόγω_υποψηφιότητας_εκλογές","ΝΕΟ","Μεταδημότευση λόγω υποψηφιότητας σε εκλογές","https://eservices.heraklion.gr/e-services/municipal-roll/metadimoteusi-logo-ipopsifiotitas-ekloges.html","Δημοτολόγιο","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"μεταδημότευση_συζύγου_λόγω_γάμου_συμφώνου","ΝΕΟ","Μεταδημότευση της/του συζύγου (λόγω γάμου ή συμφώνου συμβίωσης όταν ένας από τους δύο είναι ήδη δημότης)","https://eservices.heraklion.gr/e-services/municipal-roll/metadimoteusi-suzigou.html","Δημοτολόγιο",""
"πιστοποιητικό_ταυτοπροσωπίας_ανηλίκων","ΝΕΟ","Πιστοποιητικό Ταυτοπροσωπίας Ανηλίκων","https://eservices.heraklion.gr/e-services/municipal-roll/certrification-of-identity.html","Δημοτολόγιο",""
"πιστοποιητικό_ταυτοπροσωπίας_ενήλικα","ΝΕΟ","Πιστοποιητικό Ταυτοπροσωπίας για Ενήλικα","https://eservices.heraklion.gr/e-services/municipal-roll/certification-of-identity-ekloges.html","Δημοτολόγιο",""
"αναθεώρησης_ενιαίας_άδειας_ίδρυσης_λειτουργίας","ΝΕΟ","Χορήγηση αναθεώρησης - ενιαίας άδειας ίδρυσης και λειτουργίας μονάδας φροντίδας προσχολικής αγωγής και διαπαιδαγώγησης","https://eservices.heraklion.gr/e-services/epidomatikh-politikh/xorigisi-adeias-idrisis-mfpad.html","Εφαρμογής επιδοματικής πολιτικής και ελέγχου","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"γενική_αίτηση_θέματα_επιδομάτων","ΝΕΟ","Γενική Αίτηση για θέματα Επιδομάτων","https://eservices.heraklion.gr/e-services/epidomatikh-politikh/geniki-aitisi.html","Εφαρμογής επιδοματικής πολιτικής και ελέγχου",""
"δικαιολογητικών_μ_φ_π_α","ΝΕΟ","Κατάθεση Δικαιολογητικών Μ.Φ.Π.Α.&Δ. Για την έγκριση πρόσληψης προσωπικού","https://eservices.heraklion.gr/e-services/epidomatikh-politikh/katathesi-dikaiologitika-mfpa.html","Εφαρμογής επιδοματικής πολιτικής και ελέγχου","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"ενιαίας_άδειας_ίδρυσης_αναθεώρησης_λειτουργίας","ΝΕΟ","Χορήγηση ενιαίας άδειας ίδρυσης-αναθεώρησης και λειτουργίας μονάδας φροντίδας προσχολικής αγωγής και διαπαιδαγώγησης","https://eservices.heraklion.gr/e-services/epidomatikh-politikh/xorigisi-enieas-adias-idrisis-mfpad.html","Εφαρμογής επιδοματικής πολιτικής και ελέγχου","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"πιστοποιητικού_οικονομικής_αδυναμίας","ΝΕΟ","Χορήγηση πιστοποιητικού οικονομικής αδυναμίας","https://eservices.heraklion.gr/e-services/epidomatikh-politikh/xorigisi-pistop-oik-adinamias.html","Εφαρμογής επιδοματικής πολιτικής και ελέγχου",""
