variants,rewrite,note
ταπ|e-ταπ|eταπ|etap|e-tap|τελ* ακινητης περιουσιας,ΤΑΠ,"Το dataset γράφει ΠΑΝΤΑ «ΤΑΠ» (455 φορές), ποτέ το ανάπτυγμα — «τελών ακίνητης περιουσίας» πήγαινε στα κοιμητήρια με 0,90"
δευαη|deyah|δημοτικ* επιχειρησ* υδρευσης αποχετευσης,ΔΕΥΑΗ,
καπη,ΚΑΠΗ,
διας,ΔΙΑΣ,
αμεα,ΑμεΑ,Η μορφή του dataset (106 φορές)
πεκ,ΠΕΚ (Πιστοποιητικό Ελέγχου Κατασκευής),"Και οι 100 προτάσεις του intent έχουν το ανάπτυγμα σε παρένθεση — το μοντέλο έμαθε αυτό, όχι το ακρωνύμιο («έκδοση ΠΕΚ» 0,15)"
συποθα,ΣΥ.ΠΟ.Θ.Α. (Συμβούλιο Πολεοδομικών Θεμάτων και Αμφισβητήσεων),Το dataset το γράφει μόνο με τελείες
κεπ,ΚΕΠ,
δεη,ΔΕΗ,
δεδδηε,ΔΕΔΔΗΕ,
αφμ,ΑΦΜ,
αμκα,ΑΜΚΑ,
εφκα,ΕΦΚΑ,
ενφια,ΕΝΦΙΑ,
φεκ,ΦΕΚ,
ασεπ,ΑΣΕΠ,
οπεκα,ΟΠΕΚΑ,Όχι στο dataset — μόνο προστασία από τον διορθωτή («οπεκα» γινόταν «οποια»)
κδαπ,ΚΔΑΠ,Όχι στο dataset — μόνο προστασία («κδαπ» γινόταν «καπη» και πήγαινε στο ΚΑΠΗ με 0,95)
κτεο,ΚΤΕΟ,Όχι στο dataset — μόνο προστασία
κτελ,ΚΤΕΛ,
