"text","intent"
"Θέλω να υποβάλω ένσταση κατά της μελέτης κτηματογράφησης.","ένσταση_πολεοδομικής_μελέτης"
"Πού καταθέτω ένσταση για τη μελέτη πολεοδόμησης;","ένσταση_πολεοδομικής_μελέτης"
"Ποια δικαιολογητικά χρειάζονται για ένσταση κατά ρυμοτομικού σχεδίου;","ένσταση_πολεοδομικής_μελέτης"
"Πόση προθεσμία έχω για να κάνω ένσταση στη μελέτη;","ένσταση_πολεοδομικής_μελέτης"
"Πόσο κοστίζει η υποβολή ένστασης κατά της μελέτης;","ένσταση_πολεοδομικής_μελέτης"
"Ποιο τμήμα εξετάζει τις ενστάσεις της πολεοδομικής μελέτης;","ένσταση_πολεοδομικής_μελέτης"
"Γίνεται ηλεκτρονικά η ένσταση κατά της μελέτης;","ένσταση_πολεοδομικής_μελέτης"
"Η ένσταση κατά της μελέτης αφορά μόνο ιδιοκτήτες;","ένσταση_πολεοδομικής_μελέτης"
"Πόσο καιρό παίρνει η εξέταση της ένστασης;","ένσταση_πολεοδομικής_μελέτης"
"Μπορεί μηχανικός να καταθέσει την ένσταση για μένα;","ένσταση_πολεοδομικής_μελέτης"
"Τι γίνεται αν απορριφθεί η ένστασή μου κατά της μελέτης;","ένσταση_πολεοδομικής_μελέτης"
"Ζητώ ένσταση για την τροποποίηση του ρυμοτομικού σχεδίου.","ένσταση_πολεοδομικής_μελέτης"
"Χρειάζεται τοπογραφικό για την ένσταση;","ένσταση_πολεοδομικής_μελέτης"
"Ποιος υπογράφει την ένσταση κατά της μελέτης;","ένσταση_πολεοδομικής_μελέτης"
"Πού αναρτάται η μελέτη για να κάνω ένσταση;","ένσταση_πολεοδομικής_μελέτης"
"Έκανα ένσταση κατά της μελέτης και περιμένω απάντηση.","ένσταση_πολεοδομικής_μελέτης"
"Η ένσταση σταματάει τη διαδικασία της πολεοδομικής μελέτης;","ένσταση_πολεοδομικής_μελέτης"
"Πόσες ενστάσεις μπορώ να καταθέσω για το ίδιο οικόπεδο;","ένσταση_πολεοδομικής_μελέτης"
"Χρειάζεται δικηγόρος για την ένσταση κατά της μελέτης;","ένσταση_πολεοδομικής_μελέτης"
"Η ένσταση κατατίθεται στον Δήμο ή στην Περιφέρεια;","ένσταση_πολεοδομικής_μελέτης"
"Ποιος αποφασίζει για την ένσταση κατά της κτηματογράφησης;","ένσταση_πολεοδομικής_μελέτης"
"Χρειάζεται παράβολο για την ένσταση κατά της μελέτης;","ένσταση_πολεοδομικής_μελέτης"
"Θέλω ένσταση γιατί το οικόπεδό μου μπήκε λάθος στη μελέτη.","ένσταση_πολεοδομικής_μελέτης"
"Η προθεσμία της ένστασης έχει λήξει, τι κάνω;","ένσταση_πολεοδομικής_μελέτης"
"Πώς ενημερώνομαι για την απόφαση επί της ένστασης;","ένσταση_πολεοδομικής_μελέτης"
"Ζητώ ένσταση κατά της μελέτης πολεοδόμησης της περιοχής μου.","ένσταση_πολεοδομικής_μελέτης"
"Χρειάζεται τίτλος ιδιοκτησίας για την ένσταση;","ένσταση_πολεοδομικής_μελέτης"
"Μπορούν πολλοί ιδιοκτήτες να κάνουν κοινή ένσταση;","ένσταση_πολεοδομικής_μελέτης"
"Πού βρίσκω το έντυπο της ένστασης κατά της μελέτης;","ένσταση_πολεοδομικής_μελέτης"
"Η ένσταση εξετάζεται από επιτροπή;","ένσταση_πολεοδομικής_μελέτης"
"Θέλω ένσταση για λανθασμένα όρια στη μελέτη κτηματογράφησης.","ένσταση_πολεοδομικής_μελέτης"
"Πόσο γρήγορα απαντάτε στις ενστάσεις κατά της μελέτης;","ένσταση_πολεοδομικής_μελέτης"
"Η ένσταση καταχωρείται με αριθμό πρωτοκόλλου;","ένσταση_πολεοδομικής_μελέτης"
"Ποια στοιχεία πρέπει να αναφέρω στην ένσταση;","ένσταση_πολεοδομικής_μελέτης"
"Μετά την ένσταση μπορώ να προσφύγω δικαστικά;","ένσταση_πολεοδομικής_μελέτης"
"Διαφωνώ με τη μελέτη κτηματογράφησης, τι μπορώ να κάνω;","ένσταση_πολεοδομικής_μελέτης"
"Πού δηλώνω αντιρρήσεις για τη μελέτη πολεοδόμησης;","ένσταση_πολεοδομικής_μελέτης"
"Το οικόπεδό μου μπήκε λάθος στο ρυμοτομικό σχέδιο.","ένσταση_πολεοδομικής_μελέτης"
"Πόση προθεσμία έχω μετά την ανάρτηση της μελέτης;","ένσταση_πολεοδομικής_μελέτης"
"Ποια δικαιολογητικά χρειάζονται για αντιρρήσεις κατά της μελέτης;","ένσταση_πολεοδομικής_μελέτης"
"Ποιο τμήμα εξετάζει τις αντιρρήσεις των ιδιοκτητών;","ένσταση_πολεοδομικής_μελέτης"
"Γίνεται ηλεκτρονικά η κατάθεση αντιρρήσεων για τη μελέτη;","ένσταση_πολεοδομικής_μελέτης"
"Πού αναρτάται η πολεοδομική μελέτη της περιοχής;","ένσταση_πολεοδομικής_μελέτης"
"Πόσο καιρό παίρνει η εξέταση των αντιρρήσεων;","ένσταση_πολεοδομικής_μελέτης"
"Μπορεί ο μηχανικός μου να καταθέσει τις αντιρρήσεις;","ένσταση_πολεοδομικής_μελέτης"
"Τι γίνεται αν απορριφθούν οι αντιρρήσεις μου για τη μελέτη;","ένσταση_πολεοδομικής_μελέτης"
"Χρειάζεται τοπογραφικό διάγραμμα για τις αντιρρήσεις;","ένσταση_πολεοδομικής_μελέτης"
"Ποιος υπογράφει τις αντιρρήσεις κατά της μελέτης;","ένσταση_πολεοδομικής_μελέτης"
