"text","intent"
"Θέλω να αλλάξω τα στοιχεία του παιδιού μου στο δημοτολόγιο.","δημοτολόγιο"
"Πώς γίνεται εγγραφή τέκνου στα δημοτολόγια;","δημοτολόγιο"
"Ποια δικαιολογητικά χρειάζονται για μεταβολή στο δημοτολόγιο;","δημοτολόγιο"
"Πού δηλώνω υιοθεσία στο δημοτολόγιο;","δημοτολόγιο"
"Γίνεται η αλλαγή στο δημοτολόγιο με κωδικούς TAXISnet;","δημοτολόγιο"
"Θέλω να προσθέσω πατρώνυμο στο δημοτολόγιο.","δημοτολόγιο"
"Πόσο καιρό παίρνει η εγγραφή στο δημοτολόγιο;","δημοτολόγιο"
"Ποιος ενημερώνει το δημοτολόγιο μετά την αναγνώριση τέκνου;","δημοτολόγιο"
"Χρειάζομαι πιστοποιητικό για την εγγραφή στο δημοτολόγιο;","δημοτολόγιο"
"Το παιδί δεν έχει εγγραφεί στο δημοτολόγιο ακόμα.","δημοτολόγιο"
"Πώς διορθώνω λάθος επώνυμο στο δημοτολόγιο;","δημοτολόγιο"
"Μπορώ να κάνω την αίτηση στο δημοτολόγιο ηλεκτρονικά;","δημοτολόγιο"
"Ποιο τμήμα κρατάει το δημοτολόγιο του Δήμου Ηρακλείου;","δημοτολόγιο"
"Μετά την υιοθεσία τι αλλάζει στο δημοτολόγιο;","δημοτολόγιο"
"Θέλω πρόσληψη επωνύμου και ενημέρωση του δημοτολογίου.","δημοτολόγιο"
"Χρειάζεται παρουσία και των δύο γονέων στο δημοτολόγιο;","δημοτολόγιο"
"Πόσο κοστίζει η μεταβολή στο δημοτολόγιο;","δημοτολόγιο"
"Έκανα αίτηση στο δημοτολόγιο και δεν έχω απάντηση.","δημοτολόγιο"
"Το δημοτολόγιο έχει λάθος ημερομηνία γέννησης.","δημοτολόγιο"
"Ποιος υπογράφει την αίτηση στο δημοτολόγιο για ανήλικο;","δημοτολόγιο"
"Πώς εγγράφεται στο δημοτολόγιο παιδί που γεννήθηκε στο εξωτερικό;","δημοτολόγιο"
"Χρειάζεται ληξιαρχική πράξη για το δημοτολόγιο;","δημοτολόγιο"
"Θέλω αντίγραφο της εγγραφής μου στο δημοτολόγιο.","δημοτολόγιο"
"Πότε ενημερώνεται το δημοτολόγιο μετά τη δήλωση;","δημοτολόγιο"
"Μπορεί ο δικηγόρος να κάνει την αίτηση στο δημοτολόγιο;","δημοτολόγιο"
"Ποια είναι η διαδικασία μεταβολής στοιχείων στο δημοτολόγιο;","δημοτολόγιο"
"Το δημοτολόγιο δεν δείχνει το νέο επώνυμο του παιδιού.","δημοτολόγιο"
"Χρειάζομαι κωδικούς TAXISnet για το δημοτολόγιο;","δημοτολόγιο"
"Πώς δηλώνεται η αναγνώριση τέκνου στο δημοτολόγιο;","δημοτολόγιο"
"Ποια στοιχεία μπορούν να μεταβληθούν στο δημοτολόγιο;","δημοτολόγιο"
"Το παιδί είναι γραμμένο σε άλλο δημοτολόγιο, τι κάνω;","δημοτολόγιο"
"Ζητώ διόρθωση πατρωνύμου στο δημοτολόγιο.","δημοτολόγιο"
"Υπάρχει προθεσμία για την εγγραφή στο δημοτολόγιο;","δημοτολόγιο"
"Ποιος ελέγχει τα δικαιολογητικά για το δημοτολόγιο;","δημοτολόγιο"
"Θέλω να ενημερωθεί το δημοτολόγιο μετά από δικαστική απόφαση.","δημοτολόγιο"
"Θέλω να αλλάξω το επώνυμο του παιδιού μου μετά την υιοθεσία.","δημοτολόγιο"
"Πώς δηλώνεται η αναγνώριση τέκνου στον Δήμο;","δημοτολόγιο"
"Ποια δικαιολογητικά χρειάζονται για πρόσληψη επωνύμου;","δημοτολόγιο"
"Το παιδί πήρε το επώνυμο του πατέρα, πού το δηλώνω;","δημοτολόγιο"
"Χρειάζομαι κωδικούς TAXISnet για την αίτηση του τέκνου;","δημοτολόγιο"
"Μετά την υιοθεσία ποια στοιχεία του τέκνου αλλάζουν;","δημοτολόγιο"
"Πώς προσθέτω πατρώνυμο στο ανήλικο τέκνο;","δημοτολόγιο"
"Ποιο τμήμα καταχωρεί τη μεταβολή στοιχείων τέκνου;","δημοτολόγιο"
"Χρειάζεται δικαστική απόφαση για την αλλαγή επωνύμου του παιδιού;","δημοτολόγιο"
"Πόσο καιρό παίρνει η καταχώρηση της μεταβολής στοιχείων τέκνου;","δημοτολόγιο"
"Έγινε αναγνώριση από συμβολαιογράφο, τι ακολουθεί για το τέκνο;","δημοτολόγιο"
"Το επώνυμο του παιδιού γράφτηκε λάθος κατά τη γέννηση.","δημοτολόγιο"
"Μπορώ να υποβάλω ηλεκτρονικά την αίτηση για το επώνυμο του τέκνου;","δημοτολόγιο"
"Ποιος γονέας πρέπει να παραστεί για τη μεταβολή;","δημοτολόγιο"
"Χρειάζεται ληξιαρχική πράξη γέννησης για την αίτηση του τέκνου;","δημοτολόγιο"
