"text","intent"
"Θέλω να υποβάλω γενική αίτηση για θέματα Κ.Ο.Κ.","γενική_αίτηση_κοκ"
"Πού κάνω αίτηση για θέματα Κ.Ο.Κ. στον Δήμο;","γενική_αίτηση_κοκ"
"Ποια δικαιολογητικά χρειάζονται για αίτηση Κ.Ο.Κ.;","γενική_αίτηση_κοκ"
"Πόσο κοστίζει η αίτηση για θέματα Κ.Ο.Κ.;","γενική_αίτηση_κοκ"
"Πόσο καιρό παίρνει η αίτηση Κ.Ο.Κ.;","γενική_αίτηση_κοκ"
"Ποιο τμήμα εξετάζει τις αιτήσεις Κ.Ο.Κ.;","γενική_αίτηση_κοκ"
"Γίνεται ηλεκτρονικά η αίτηση για θέματα Κ.Ο.Κ.;","γενική_αίτηση_κοκ"
"Ζητώ με αίτηση Κ.Ο.Κ. θέση φορτοεκφόρτωσης.","γενική_αίτηση_κοκ"
"Η αίτηση Κ.Ο.Κ. αφορά απαγόρευση στάθμευσης στον δρόμο μου.","γενική_αίτηση_κοκ"
"Ποιος υπογράφει την αίτηση για θέματα Κ.Ο.Κ.;","γενική_αίτηση_κοκ"
"Μπορεί επιχείρηση να κάνει αίτηση Κ.Ο.Κ.;","γενική_αίτηση_κοκ"
"Χρειάζεται τοπογραφικό για την αίτηση Κ.Ο.Κ.;","γενική_αίτηση_κοκ"
"Έκανα αίτηση Κ.Ο.Κ. και περιμένω απάντηση.","γενική_αίτηση_κοκ"
"Ζητώ με αίτηση Κ.Ο.Κ. τοποθέτηση καθρέφτη ορατότητας.","γενική_αίτηση_κοκ"
"Η αίτηση Κ.Ο.Κ. πάει στην Επιτροπή Κυκλοφορίας;","γενική_αίτηση_κοκ"
"Πού βρίσκω το έντυπο της αίτησης Κ.Ο.Κ.;","γενική_αίτηση_κοκ"
"Χρειάζεται παράβολο για την αίτηση Κ.Ο.Κ.;","γενική_αίτηση_κοκ"
"Ζητώ μονοδρόμηση του δρόμου με αίτηση Κ.Ο.Κ.","γενική_αίτηση_κοκ"
"Η αίτηση Κ.Ο.Κ. αφορά σήμανση σε επικίνδυνη στροφή.","γενική_αίτηση_κοκ"
"Πόσο γρήγορα απαντάτε σε αίτηση Κ.Ο.Κ.;","γενική_αίτηση_κοκ"
"Μπορούν πολλοί κάτοικοι να κάνουν κοινή αίτηση Κ.Ο.Κ.;","γενική_αίτηση_κοκ"
"Ποια στοιχεία αναφέρω στην αίτηση Κ.Ο.Κ.;","γενική_αίτηση_κοκ"
"Η αίτηση Κ.Ο.Κ. αφορά τοποθέτηση κολονακίων.","γενική_αίτηση_κοκ"
"Χρειάζεται φωτογραφία στην αίτηση Κ.Ο.Κ.;","γενική_αίτηση_κοκ"
"Ζητώ με αίτηση Κ.Ο.Κ. διαγράμμιση διάβασης πεζών.","γενική_αίτηση_κοκ"
"Απορρίφθηκε η αίτηση Κ.Ο.Κ., μπορώ να ξανακάνω;","γενική_αίτηση_κοκ"
"Η αίτηση Κ.Ο.Κ. αφορά περιορισμό ταχύτητας στη γειτονιά.","γενική_αίτηση_κοκ"
"Ποιος αποφασίζει για τα αιτήματα Κ.Ο.Κ.;","γενική_αίτηση_κοκ"
"Χρειάζεται αυτοψία μετά την αίτηση Κ.Ο.Κ.;","γενική_αίτηση_κοκ"
"Ζητώ με αίτηση Κ.Ο.Κ. απαγόρευση διέλευσης φορτηγών.","γενική_αίτηση_κοκ"
"Η αίτηση Κ.Ο.Κ. αφορά θέση στάθμευσης για φόρτωση εμπορευμάτων.","γενική_αίτηση_κοκ"
"Πόσες αιτήσεις Κ.Ο.Κ. μπορώ να καταθέσω;","γενική_αίτηση_κοκ"
"Ζητώ με αίτηση Κ.Ο.Κ. πινακίδα απαγόρευσης στάθμευσης.","γενική_αίτηση_κοκ"
"Χρειάζεται σκαρίφημα του δρόμου στην αίτηση Κ.Ο.Κ.;","γενική_αίτηση_κοκ"
"Πώς ενημερώνομαι για την πορεία της αίτησης Κ.Ο.Κ.;","γενική_αίτηση_κοκ"
"Θέλω να ζητήσω κυκλοφοριακή ρύθμιση στον δρόμο μου.","γενική_αίτηση_κοκ"
"Πού κάνω αίτημα για σήμανση στη γειτονιά;","γενική_αίτηση_κοκ"
"Ποια δικαιολογητικά χρειάζονται για κυκλοφοριακό αίτημα;","γενική_αίτηση_κοκ"
"Πόσο κοστίζει το αίτημα για κυκλοφοριακή ρύθμιση;","γενική_αίτηση_κοκ"
"Πόσο καιρό παίρνει ένα κυκλοφοριακό αίτημα;","γενική_αίτηση_κοκ"
"Ποιο τμήμα εξετάζει τα κυκλοφοριακά αιτήματα;","γενική_αίτηση_κοκ"
"Γίνεται ηλεκτρονικά το αίτημα για κυκλοφοριακή ρύθμιση;","γενική_αίτηση_κοκ"
"Ζητώ θέση φορτοεκφόρτωσης μπροστά στο κατάστημά μου.","γενική_αίτηση_κοκ"
"Θέλω απαγόρευση στάθμευσης έξω από την είσοδό μου.","γενική_αίτηση_κοκ"
"Ποιος υπογράφει το αίτημα για την κυκλοφορία;","γενική_αίτηση_κοκ"
"Μπορεί επιχείρηση να ζητήσει κυκλοφοριακή ρύθμιση;","γενική_αίτηση_κοκ"
"Χρειάζεται τοπογραφικό για το κυκλοφοριακό αίτημα;","γενική_αίτηση_κοκ"
"Έκανα αίτημα για τη σήμανση και περιμένω απάντηση.","γενική_αίτηση_κοκ"
"Ζητώ τοποθέτηση καθρέφτη σε τυφλή έξοδο.","γενική_αίτηση_κοκ"
"Το αίτημα για την κυκλοφορία πάει στην Επιτροπή;","γενική_αίτηση_κοκ"
"Πού βρίσκω το έντυπο για κυκλοφοριακό αίτημα;","γενική_αίτηση_κοκ"
"Χρειάζεται παράβολο για το κυκλοφοριακό αίτημα;","γενική_αίτηση_κοκ"
"Ζητώ μονοδρόμηση του στενού μας.","γενική_αίτηση_κοκ"
"Θέλω σήμανση σε επικίνδυνη στροφή.","γενική_αίτηση_κοκ"
"Πόσο γρήγορα απαντάτε σε κυκλοφοριακό αίτημα;","γενική_αίτηση_κοκ"
"Μπορούμε πολλοί κάτοικοι να ζητήσουμε κυκλοφοριακή ρύθμιση μαζί;","γενική_αίτηση_κοκ"
"Ποια στοιχεία αναφέρω στο κυκλοφοριακό αίτημα;","γενική_αίτηση_κοκ"
"Ζητώ τοποθέτηση κολονακίων στο πεζοδρόμιο.","γενική_αίτηση_κοκ"
"Χρειάζεται φωτογραφία στο αίτημα για τη σήμανση;","γενική_αίτηση_κοκ"
"Θέλω διαγράμμιση διάβασης πεζών μπροστά στο σχολείο.","γενική_αίτηση_κοκ"
