"ενότητα","υπηρεσία","έχει_intent","intents","χαλαρή"
"Πράσινο","Αίτημα καταπολέμησης πιτυοκάμπης","ΟΧΙ","",""
"Πράσινο","Απεντόμωση σε κοινόχρηστους χώρους","ΟΧΙ","",""
"Πράσινο","Απολύμανση κτιρίων","ΟΧΙ","",""
"Πράσινο","Απομάκρυνση - κοπή δένδρων σε κοινόχρηστους χώρους","ναι","πράσινο_δένδρα",""
"Πράσινο","Βλάβες αρδευτικών δικτύων","ναι","",""
"Πράσινο","Καλλωπισμός - Γενική συντήρηση σε κοινόχρηστους χώρους","ΟΧΙ","",""
"Πράσινο","Καταγγελία δολιοφθορών","ΟΧΙ","",""
"Πράσινο","Καταστροφή και απομάκρυνση ζιζανίων","ΟΧΙ","",""
"Πράσινο","Κλάδεμα δένδρων σε κοινόχρηστους χώρους","ναι","",""
"Πράσινο","Μυοκτονία σε κοινόχρηστους χώρους","ναι","",""
"Πράσινο","Προβλήματα φυτοϋγείας","ΟΧΙ","",""
"Πράσινο","Σπασμένα κλαδιά δέντρου","ναι","καθαρισμός_οικοπέδου_πυροπροστασία","ναι"
"Πράσινο","Φύτευση σε κοινόχρηστους χώρους","ΟΧΙ","",""
"Τμήμα παλιάς πόλης","[ΕΝΟΤΗΤΑ] Τμήμα παλιάς πόλης","ναι","παλαιότητα_κτίσματος",""
"Τμήμα παλιάς πόλης","Αίτηση για κατασκευή σκιαδιών ή πέργολας ή άλλου τέτοιου είδους κατασκευών σε κοινόχρηστο χώρο της Παλαιάς Πόλης","ΟΧΙ","",""
"Τμήμα παλιάς πόλης","Βεβαίωση για χαρακτηρισμό κτιρίου (Προτεινόμενου ως διατηρητέου ή μη)","ΟΧΙ","",""
"Διαχείριση καλλιτεχνικής δραστηριότητας εντός της παλιάς πόλης","Διαχείριση Καλλιτεχνικής Δραστηριοτητας εντός της Παλιάς Πόλης","ΟΧΙ","παλαιότητα_οδού, παλαιότητα_οικοπέδου",""
"Αδέσποτα ζώα","Καταγγελία (Ζώα συντροφιάς - αδέσποτα)","ναι","αδέσποτα_ζώα",""
"Κοινόχρηστοι χώροι","[ΕΝΟΤΗΤΑ] Κοινόχρηστοι χώροι","ναι","κατάληψη_κοινόχρηστου",""
