"text","intent"
"Θέλω άδεια για τοποθέτηση ικριωμάτων στο πεζοδρόμιο.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Πού κάνω αίτηση για ικριώματα σε κοινόχρηστο χώρο;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Ποια δικαιολογητικά χρειάζονται για άδεια ικριωμάτων;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Πόσο κοστίζει η άδεια ικριωμάτων ανά ημέρα;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Χρειάζομαι ικριώματα για να βάψω την πρόσοψη.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Πόσο διαρκεί η άδεια για ικριώματα;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Μπορώ να τοποθετήσω ικριώματα σε πεζόδρομο;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Ποιος εγκρίνει την τοποθέτηση ικριωμάτων στην πλατεία;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Θέλω παράταση της άδειας ικριωμάτων.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Τα ικριώματα θα μείνουν δύο μήνες, τι χρειάζομαι;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Υπάρχει πρόστιμο για ικριώματα χωρίς άδεια;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Πόσα τετραγωνικά πιάνουν τα ικριώματα στην αίτηση;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Ποιο τμήμα δίνει άδεια ικριωμάτων;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Χρειάζεται ασφαλιστήριο για τα ικριώματα;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Γίνεται ηλεκτρονική αίτηση για ικριώματα;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Πρέπει να αφήσω διάδρομο για πεζούς δίπλα στα ικριώματα;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Τα ικριώματα εμποδίζουν τη διέλευση, τι κάνω;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Ζητώ άδεια ικριωμάτων για ανακαίνιση πρόσοψης.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Ποιος ελέγχει την ασφάλεια των ικριωμάτων;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Πόσο πριν πρέπει να ζητήσω άδεια για ικριώματα;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Μπορεί ο εργολάβος να βγάλει την άδεια ικριωμάτων;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Χρειάζονται σήμανση τα ικριώματα τη νύχτα;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Έληξε η άδεια και τα ικριώματα είναι ακόμα εκεί.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Τι ύψος ικριωμάτων επιτρέπεται στο πεζοδρόμιο;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Πληρώνω τέλος κατάληψης για τα ικριώματα;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Πώς δηλώνω την αποξήλωση των ικριωμάτων;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Χρειάζεται άδεια για ικριώματα εντός ιδιωτικού χώρου;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Τα ικριώματα καλύπτουν την είσοδο του καταστήματος.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Ζητώ άδεια ικριωμάτων για επισκευή μπαλκονιών.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Ποια είναι η διαδικασία για ανανέωση άδειας ικριωμάτων;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Πρέπει να τοποθετήσω δίχτυ στα ικριώματα;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Πόσο κοστίζει η παράταση για τα ικριώματα;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Ο γείτονας έβαλε ικριώματα χωρίς άδεια.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Χρειάζομαι άδεια ικριωμάτων και για μονοήμερη εργασία;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Τα ικριώματα θα τοποθετηθούν σε πλατεία, αλλάζει κάτι;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Θέλω άδεια για σκαλωσιά στην πρόσοψη του κτιρίου.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Πού ζητάω κατάληψη κοινόχρηστου χώρου για εργασίες όψης;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Χρειάζομαι σκαλωσιά για να σοβατίσω την πολυκατοικία.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Πόσο κοστίζει η κατάληψη πεζοδρομίου για εργασίες πρόσοψης;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Ποιος δίνει έγκριση για σκαλωσιά σε πεζόδρομο;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Θα βάψουμε την πρόσοψη, τι άδεια χρειάζεται;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Η σκαλωσιά θα μείνει ένα μήνα στην πλατεία.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Πρέπει να πληρώσω τέλος κατάληψης για τη σκαλωσιά;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Ποια δικαιολογητικά θέλει η κατάληψη για εργασίες όψης;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Χρειάζεται άδεια για αναστήλωση όψης σε διατηρητέο;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Η σκαλωσιά κλείνει το μισό πεζοδρόμιο.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Πόσο νωρίτερα κάνω την αίτηση κατάληψης για σκαλωσιά;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Ο εργολάβος στήνει σκαλωσιά, ποιος βγάζει την άδεια;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Υπάρχει πρόστιμο για σκαλωσιά χωρίς έγκριση;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Θέλω να παρατείνω την κατάληψη για τη σκαλωσιά.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Ποιο τμήμα εγκρίνει την κατάληψη για εργασίες στην όψη;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Πρέπει να αφήσω πέρασμα για τους πεζούς κάτω από τη σκαλωσιά;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Η σκαλωσιά χρειάζεται φωτισμό τη νύχτα;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Πόσα τετραγωνικά δηλώνω για τη σκαλωσιά στην αίτηση;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Ζητώ έγκριση για εργασίες στην όψη του κτιρίου.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Ποιος ελέγχει την ασφάλεια της σκαλωσιάς;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Η σκαλωσιά έμεινε αφού τελείωσαν οι εργασίες.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Χρειάζεται ασφάλιση για τη σκαλωσιά;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Θέλω να δηλώσω ότι αποξηλώθηκε η σκαλωσιά.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Μπορώ να κλείσω τη λωρίδα στάθμευσης για τις εργασίες όψης;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Πόσο κρατάει η έγκριση κατάληψης για σκαλωσιά;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Ο γείτονας έστησε σκαλωσιά χωρίς να ρωτήσει κανέναν.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Χρειάζεται δίχτυ προστασίας στη σκαλωσιά;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Ποιες ώρες μπορούν να γίνονται οι εργασίες στην όψη;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Θέλω να ανανεώσω την έγκριση κατάληψης για άλλον μήνα.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Η κατάληψη για τη σκαλωσιά αφορά πλατεία, ισχύουν τα ίδια;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Πόσο κοστίζει η παράταση της κατάληψης για τη σκαλωσιά;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Πρέπει να τοποθετήσω σήμανση γύρω από τη σκαλωσιά;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Ζητώ έγκριση για μονοήμερη εργασία στην πρόσοψη.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Ποιος αποφασίζει το τέλος κατάληψης για τη σκαλωσιά;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Θα βάψω την πολυκατοικία, χρειάζομαι άδεια για σκαλωσιά;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Ρε παιδιά, πόσο κοστίζει να στήσω ικριώματα;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Ο εργολάβος λέει να βγάλω εγώ την άδεια για τα ικριώματα.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Πόσες μέρες κάνει να βγει η άδεια για σκαλωσιά;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Έβαλα σκαλωσιά, θα φάω πρόστιμο;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Πού πάω για την άδεια ικριωμάτων;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Τα ικριώματα θα μείνουν λίγες μέρες, θέλει χαρτιά;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Ο γείτονας έχει σκαλωσιά μήνες και κανείς δεν λέει τίποτα.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Δεν περνάει κόσμος από τη σκαλωσιά, τι κάνουμε;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Πόσο πληρώνω για κατάληψη πεζοδρομίου με σκαλωσιά;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Θέλω να βγάλω τα ικριώματα, πρέπει να ενημερώσω;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Μου ζητάνε ασφάλεια για τη σκαλωσιά, ισχύει;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Έληξε η άδεια της σκαλωσιάς και δεν τελείωσαν οι εργασίες.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Πείτε μου τι χαρτιά θέλω για τα ικριώματα.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Η σκαλωσιά μου κλείνει τη βιτρίνα του μαγαζιού.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Μπορεί η σκαλωσιά να πιάσει και λίγο από τον δρόμο;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Πόσο θα περιμένω για την έγκριση κατάληψης της σκαλωσιάς;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Έστησαν σκαλωσιά και δεν άφησαν να περάσουμε.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Θέλω παράταση για τα ικριώματα, γίνεται;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Ποιον ρωτάω για την κατάληψη πεζοδρομίου με ικριώματα;","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
"Είναι επικίνδυνη η σκαλωσιά, κουνιέται.","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου"
