"intent","δείγματα","συμφωνία","llm_confidence","url","τίτλος_llm","τίτλος_similarity","ηλεκτρονικά","αιτιολογία"
"άδεια_οικοδομής","71","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/build-permits.html","Έκδοση αδειών για οικοδομικές υπηρεσίες - μηνιαίες","Έκδοση ΠΕΚ (Πιστοποιητικό Ελέγχου Κατασκευής)","ΟΧΙ","Έκδοση αδειών οικοδομικών"
"άδεια_πωλητή_υπαίθριου_εμπορίου","69","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/year.html","Έκδοση αδειών κοινόχρηστων χώρων - Ετήσιες","Καταγγελία (Λαϊκές αγορές-Πλανόδιο-Υπαίθριο εμπόριο","ΟΧΙ","άδεια υπαίθριου εμπορίου"
"αίτηση_γενικού_τεχνικού_περιεχομένου","70","ΟΧΙ","medium","https://eservices.heraklion.gr/e-services/technical-services/kalopismos-gen-syntirisi-koinoxristo-xoro.html","Καλλωπισμός - Γενική συντήρηση σε κοινόχρηστους χώρους","Γενική αίτηση για θέματα Κ.Ο.Κ","ναι","συντήρηση κοινών χώρων"
"αλλαγή_στοιχείων_λογαριασμού_ύδρευσης","70","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/deyah/deyah-exoflisi.html","Ηλεκτρονική Εξόφληση Λογαριασμού ΔΕΥΑΗ","Βεβαίωση Υψομέτρου","ναι","Ηλεκτρονική Εξόφληση"
"αντίγραφα_άδειας_πολεοδομίας","69","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/town-planning/antigrafa-stoixeiwn-oikodom-adeiwn-ews-2018.html","Αντίγραφα στοιχείων οικοδομικών αδειών (έως το έτος 2018)","Αντίγραφα φακέλου καταγεγραμμένου αυθαιρέτου","ναι","Οικοδομικές αδείες έως 2018"
"ασφαλτόστρωση_οδού","69","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/technical-services/street-build.html","Εκτέλεση έργων Οδοποιίας","Αίτηση για ασφαλτόστρωση - τσιμεντόστρωση - διάστρωση 3α","ναι","Εκτέλεση έργων οδοποιίας"
"βεβαίωση_αρτιότητας","69","ΟΧΙ","low","https://eservices.heraklion.gr/e-services/economic-services/ekdosi-dhm-enhmerotitas.html","Έκδοση δημοτικής ενημερότητας","Απαλλαγή προσαυξήσεων βεβαιωμένης οφειλής","ναι","Σχηματίζει ενημέρωση"
"βεβαίωση_κατοικίας","70","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/municipal-roll/bebeosi-monimis-katoikias-dimoti.html","Βεβαίωση Μόνιμης Κατοικίας Δημότη Ηρακλείου","Μεταδημότευση λόγω διετούς κατοικίας","ναι","Βεβαίωση Μόνιμης Κατοικίας"
"βεβαίωση_οφειλών_διας","69","ΟΧΙ","medium","https://eservices.heraklion.gr/e-services/economic-services/apalagi-prosauksisewn.html","Απαλλαγή προσαυξήσεων βεβαιωμένης οφειλής","Βεβαίωση περί μη οφειλών (προσκύρωσης, αυθαίρετης κατασκευής, εισφοράς σχεδίου πόλης)","ναι","Βεβαίωση οφειλών σχετικά"
"βλάβη_αγωγού_ύδρευσης","70","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/deyah/deyah-blabi.html","Δήλωση Βλάβης ΔΕΥΑΗ","Βλάβες αρδευτικών δικτύων","ναι","Βλάβης ΔΕΥΑΗ ύδρευσης"
"γενικές_υπηρεσίες","70","ΟΧΙ","medium","https://eservices.heraklion.gr/e-services/epidomatikh-politikh/geniki-aitisi.html","Γενική Αίτηση για θέματα Επιδομάτων","Γενική αίτηση για θέματα Κ.Ο.Κ","ναι","Γενική αίτηση επιδομάτων"
"δημοτολόγιο","71","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/municipal-roll/metadimotefsi-unmarried.html","Μεταδημότευση αγάμου","Διόρθωση κυρίου ονόματος","ΟΧΙ","Μεταδημότευση αγάμου"
"διακοπή_παροχής_ύδατος","68","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/deyah/deyah-blabi.html","Δήλωση Βλάβης ΔΕΥΑΗ","Κατασχέσεις","ναι","Δήλωση Βλάβης ΔΕΥΑΗ"
"είσοδος_έξοδος","71","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/technical-services/kikloforiakes-sindesis.html","Κυκλοφοριακές συνδέσεις/είσοδοι-έξοδοι","Χορήγηση άδειας οριζόντιας σήμανσης της εισόδου-εξόδου ιδιωτικού χώρου στάθμευσης","ναι","Είσοδοι-έξοδοι κυκλοφοριακές"
"ενοικίαση_οστεοφυλακίου","68","ΟΧΙ","medium","https://eservices.heraklion.gr/e-services/technical-services/bebeosi-akribous-dieuthinsis-akinitou.html","Βεβαίωση ακριβούς διεύθυνσης ακινήτων","Βεβαίωση Μόνιμης Κατοικίας Δημότη Ηρακλείου","ναι","Οστεοφυλακίου σχετίζεται με ακίνητα"
"επέκταση_δικτύου_ύδρευσης","71","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/technical-services/fiteusi-se-koinoxristo-xoro.html","Φύτευση σε κοινόχρηστους χώρους","Βλάβες αρδευτικών δικτύων","ναι","Φύτευση δικτύου ύδρευσης"
"επανασύνδεση_παροχής","70","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/economic-services/diagrafi-ofilis.html","Διαγραφή οφειλής","Επιστροφή χρημάτων","ναι","διαγραφή οφειλής"
"καθαρισμός_φρεατίου","71","ΟΧΙ","medium","https://eservices.heraklion.gr/e-services/cleanness/geniko-aitima-kathariotitas.html","Γενικό αίτημα καθαριότητας","Αίτημα για οδοκαθαρισμό","ναι","Γενικό αίτημα καθαριότητας"
