"text","intent"
"Θα ήθελα να αιτηθώ κοπή δέντρου σε κοινόχρηστο χώρο.","πράσινο_δένδρα"
"Πώς μπορώ να ζητήσω την απομάκρυνση ενός δέντρου από τον δρόμο μου;","πράσινο_δένδρα"
"Υπάρχει ένα επικίνδυνο δέντρο μπροστά από το σπίτι μου, τι κάνω;","πράσινο_δένδρα"
"Ποια είναι η διαδικασία για κοπή δέντρων σε πεζοδρόμιο;","πράσινο_δένδρα"
"Χρειάζομαι άδεια για να κόψω δέντρο σε κοινόχρηστο χώρο;","πράσινο_δένδρα"
"Το δέντρο στην πλατεία έχει γείρει επικίνδυνα.","πράσινο_δένδρα"
"Πού υποβάλλω αίτηση για απομάκρυνση δέντρου;","πράσινο_δένδρα"
"Τα δέντρα στον δρόμο μας χρειάζονται κοπή.","πράσινο_δένδρα"
"Ποιος αναλαμβάνει την κοπή δέντρων στον Δήμο Ηρακλείου;","πράσινο_δένδρα"
"Πόσο καιρό παίρνει η αίτηση για κοπή δέντρου;","πράσινο_δένδρα"
"Ένα δέντρο έπεσε στο οδόστρωμα μετά τον δυνατό αέρα.","πράσινο_δένδρα"
"Μπορεί ο Δήμος να απομακρύνει ένα ξερό δέντρο;","πράσινο_δένδρα"
"Το δέντρο έξω από την είσοδό μου έχει σαπίσει.","πράσινο_δένδρα"
"Θέλω να δηλώσω επικίνδυνο δέντρο στη γειτονιά μου.","πράσινο_δένδρα"
"Ποια δικαιολογητικά χρειάζονται για κοπή δέντρου;","πράσινο_δένδρα"
"Υπάρχει κόστος για την απομάκρυνση δέντρου από κοινόχρηστο χώρο;","πράσινο_δένδρα"
"Τα δέντρα στο πάρκο είναι επικίνδυνα για τα παιδιά.","πράσινο_δένδρα"
"Πώς δηλώνω ότι ένα δέντρο εμποδίζει τη διέλευση;","πράσινο_δένδρα"
"Το δέντρο στο πεζοδρόμιο έχει σηκώσει τις πλάκες.","πράσινο_δένδρα"
"Ζητώ κοπή δέντρου γιατί ακουμπάει στα καλώδια.","πράσινο_δένδρα"
"Μπορώ να κόψω μόνος μου το δέντρο ή πρέπει ο Δήμος;","πράσινο_δένδρα"
"Ποιο τμήμα ασχολείται με την κοπή δένδρων;","πράσινο_δένδρα"
"Έχω κάνει αίτηση για κοπή δέντρου, πώς βλέπω την πορεία της;","πράσινο_δένδρα"
"Το δέντρο μπροστά στο μαγαζί μου κρύβει την πινακίδα.","πράσινο_δένδρα"
"Χρειάζεται να είμαι παρών όταν κόψουν το δέντρο;","πράσινο_δένδρα"
"Πόσα δέντρα μπορώ να δηλώσω σε μία αίτηση;","πράσινο_δένδρα"
"Το δέντρο στην αυλή του σχολείου είναι σάπιο.","πράσινο_δένδρα"
"Ποιος ευθύνεται αν πέσει δέντρο πάνω στο αυτοκίνητό μου;","πράσινο_δένδρα"
"Θέλω απομάκρυνση δέντρου που έχει ξεραθεί εντελώς.","πράσινο_δένδρα"
"Γίνεται κοπή δέντρων όλο τον χρόνο ή μόνο σε συγκεκριμένες εποχές;","πράσινο_δένδρα"
"Το δέντρο δίπλα στη στάση εμποδίζει τους πεζούς.","πράσινο_δένδρα"
"Δηλώνω δέντρο που κινδυνεύει να πέσει στο σπίτι μου.","πράσινο_δένδρα"
"Υπάρχει ηλεκτρονική αίτηση για κοπή δέντρων;","πράσινο_δένδρα"
"Ο άνεμος έσπασε ένα μεγάλο δέντρο στην οδό μας.","πράσινο_δένδρα"
"Πρέπει να ειδοποιήσω τους γείτονες για την κοπή του δέντρου;","πράσινο_δένδρα"
"Τα κλαδιά μπαίνουν μέσα στο μπαλκόνι μου.","πράσινο_δένδρα"
"Οι ρίζες έχουν σηκώσει όλο το πεζοδρόμιο.","πράσινο_δένδρα"
"Ο πεύκος στην πλατεία γέρνει προς τα αυτοκίνητα.","πράσινο_δένδρα"
"Χρειάζεται κόψιμο η φυλλωσιά που κρύβει τη λάμπα του δρόμου.","πράσινο_δένδρα"
