"text","intent"
"Θέλω να κάνω καταγγελία για αδέσποτα σκυλιά στη γειτονιά μου.","αδέσποτα_ζώα"
"Πού δηλώνω αδέσποτα ζώα στον Δήμο Ηρακλείου;","αδέσποτα_ζώα"
"Υπάρχει αγέλη από αδέσποτα κοντά στο σχολείο.","αδέσποτα_ζώα"
"Ποια είναι η διαδικασία για περισυλλογή αδέσποτων;","αδέσποτα_ζώα"
"Τα αδέσποτα στην πλατεία είναι επιθετικά.","αδέσποτα_ζώα"
"Ποιος αναλαμβάνει τα αδέσποτα ζώα στον Δήμο;","αδέσποτα_ζώα"
"Θέλω να αναφέρω τραυματισμένο αδέσποτο.","αδέσποτα_ζώα"
"Γίνεται στείρωση των αδέσποτων από τον Δήμο;","αδέσποτα_ζώα"
"Πώς κάνω καταγγελία για κακοποίηση αδέσποτου;","αδέσποτα_ζώα"
"Τα αδέσποτα σκυλιά γαβγίζουν όλη νύχτα.","αδέσποτα_ζώα"
"Υπάρχει καταφύγιο αδέσποτων στο Ηράκλειο;","αδέσποτα_ζώα"
"Ποιος ταΐζει τα αδέσποτα στον δήμο;","αδέσποτα_ζώα"
"Βρήκα αδέσποτο κουτάβι, τι πρέπει να κάνω;","αδέσποτα_ζώα"
"Πόσο γρήγορα γίνεται η περισυλλογή αδέσποτων;","αδέσποτα_ζώα"
"Τα αδέσποτα μπαίνουν στην αυλή του σχολείου.","αδέσποτα_ζώα"
"Θέλω να υιοθετήσω ένα αδέσποτο από τον Δήμο.","αδέσποτα_ζώα"
"Ποια δικαιολογητικά χρειάζονται για καταγγελία αδέσποτων;","αδέσποτα_ζώα"
"Ένα αδέσποτο δάγκωσε το παιδί μου.","αδέσποτα_ζώα"
"Υπάρχει τηλέφωνο για αδέσποτα ζώα;","αδέσποτα_ζώα"
"Τα αδέσποτα έχουν φωλιάσει στο πάρκινγκ της πολυκατοικίας.","αδέσποτα_ζώα"
"Δηλώνω αδέσποτη γάτα που χρειάζεται περίθαλψη.","αδέσποτα_ζώα"
"Γίνεται ηλεκτρονική καταγγελία για αδέσποτα;","αδέσποτα_ζώα"
"Ποιος πληρώνει τον κτηνίατρο για τα αδέσποτα;","αδέσποτα_ζώα"
"Τα αδέσποτα κυνηγούν τα αυτοκίνητα στον δρόμο.","αδέσποτα_ζώα"
"Έχουν τα αδέσποτα του Δήμου ηλεκτρονική σήμανση;","αδέσποτα_ζώα"
"Θέλω να αναφέρω εγκαταλελειμμένο ζώο που έγινε αδέσποτο.","αδέσποτα_ζώα"
"Πόσα αδέσποτα μπορώ να δηλώσω σε μία καταγγελία;","αδέσποτα_ζώα"
"Τα αδέσποτα σκάβουν στα παρτέρια της πλατείας.","αδέσποτα_ζώα"
"Πού πηγαίνουν τα αδέσποτα μετά την περισυλλογή;","αδέσποτα_ζώα"
"Ένα αδέσποτο κυκλοφορεί τραυματισμένο στη γειτονιά.","αδέσποτα_ζώα"
"Υπάρχει πρόγραμμα εμβολιασμού αδέσποτων;","αδέσποτα_ζώα"
"Τα αδέσποτα ζώα ανοίγουν τους κάδους σκουπιδιών.","αδέσποτα_ζώα"
"Ποιο τμήμα ασχολείται με τα αδέσποτα;","αδέσποτα_ζώα"
"Έκανα καταγγελία για αδέσποτα και δεν ήρθε κανείς.","αδέσποτα_ζώα"
"Μπορώ να φροντίζω αδέσποτα χωρίς άδεια από τον Δήμο;","αδέσποτα_ζώα"
"Υπάρχει μια αγέλη σκυλιών που τρομάζει τα παιδιά.","αδέσποτα_ζώα"
"Βρήκα ένα τραυματισμένο σκυλί στον δρόμο.","αδέσποτα_ζώα"
"Ποιον ειδοποιώ για κακοποίηση ζώου;","αδέσποτα_ζώα"
"Μια γάτα έχει παγιδευτεί κάτω από αυτοκίνητο.","αδέσποτα_ζώα"
"Θέλω να δηλώσω σκυλί χωρίς ιδιοκτήτη στη γειτονιά.","αδέσποτα_ζώα"
"Τα σκυλιά επιτίθενται στους περαστικούς κάθε βράδυ.","αδέσποτα_ζώα"
"Ποιος μαζεύει τα ζώα από τον δρόμο;","αδέσποτα_ζώα"
"Ένα κουτάβι κλαίει μέσα στα σκουπίδια.","αδέσποτα_ζώα"
"Πώς δηλώνω ότι κάποιος βασανίζει ζώα;","αδέσποτα_ζώα"
"Γίνεται στείρωση ζώων από τις υπηρεσίες του Δήμου;","αδέσποτα_ζώα"
"Ο γείτονας άφησε τον σκύλο του και έφυγε.","αδέσποτα_ζώα"
"Χρειάζεται περίθαλψη μια γάτα στο πάρκο.","αδέσποτα_ζώα"
"Ποιο τηλέφωνο καλώ για ζώα σε κίνδυνο;","αδέσποτα_ζώα"
"Δάγκωσε σκυλί περαστικό στην πλατεία.","αδέσποτα_ζώα"
"Υπάρχει κτηνίατρος του Δήμου για τέτοιες περιπτώσεις;","αδέσποτα_ζώα"
