"text","intent"
"Θέλω να πληρώσω τον λογαριασμό της ΔΕΥΑΗ ηλεκτρονικά.","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Πού βλέπω τον λογαριασμό ύδρευσης online;","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Πώς εξοφλώ τον λογαριασμό νερού με κάρτα;","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Ο λογαριασμός της ΔΕΥΑΗ δεν εμφανίζεται στο σύστημα.","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Χρειάζομαι τον κωδικό καταναλωτή για τον λογαριασμό;","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Μπορώ να δω παλιούς λογαριασμούς ύδρευσης;","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Πλήρωσα τον λογαριασμό αλλά φαίνεται απλήρωτος.","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Πόσο κοστίζει η ηλεκτρονική πληρωμή του λογαριασμού;","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Ο λογαριασμός μου είναι πολύ υψηλός, τι κάνω;","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Γίνεται σε δόσεις ο λογαριασμός της ΔΕΥΑΗ;","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Πού βρίσκω τον αριθμό του λογαριασμού ύδρευσης;","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Ο λογαριασμός ήρθε σε λάθος όνομα.","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Μπορώ να πληρώσω τον λογαριασμό με IBAN;","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Πότε λήγει ο λογαριασμός της ΔΕΥΑΗ;","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Ο λογαριασμός είναι ληξιπρόθεσμος, τι γίνεται;","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Πώς εγγράφομαι για ηλεκτρονικό λογαριασμό ύδρευσης;","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Δεν λαμβάνω τον λογαριασμό στο email μου.","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Ο λογαριασμός δείχνει λάθος κατανάλωση.","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Μπορώ να πληρώσω τον λογαριασμό κάποιου άλλου;","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Εκδίδεται απόδειξη μετά την πληρωμή του λογαριασμού;","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Πόσο συχνά έρχεται ο λογαριασμός της ΔΕΥΑΗ;","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Ο λογαριασμός μου έχει προσαυξήσεις.","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Χάθηκε ο λογαριασμός, πώς τον ξαναβρίσκω;","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Μπορώ να δω το ιστορικό των λογαριασμών μου;","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Ο λογαριασμός αφορά ακίνητο που πούλησα.","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Πώς αλλάζω τα στοιχεία στον λογαριασμό ύδρευσης;","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
"Γίνεται πάγια εντολή για τον λογαριασμό της ΔΕΥΑΗ;","ηλεκτρονική_εξόφληση_λογαριασμού_δευαη"
