"text","intent"
"Θέλω να απομακρύνετε ογκώδη αντικείμενα από το πεζοδρόμιο.","ογκοδέματα"
"Πού δηλώνω ογκώδη αντικείμενα προς αποκομιδή;","ογκοδέματα"
"Πώς κλείνω ραντεβού για ογκώδη αντικείμενα;","ογκοδέματα"
"Πόσο κοστίζει η απομάκρυνση ογκωδών αντικειμένων;","ογκοδέματα"
"Πόσο καιρό παίρνει η αποκομιδή ογκωδών αντικειμένων;","ογκοδέματα"
"Ποιο τμήμα μαζεύει τα ογκώδη αντικείμενα;","ογκοδέματα"
"Γίνεται ηλεκτρονικά η δήλωση για ογκώδη αντικείμενα;","ογκοδέματα"
"Πόσα ογκώδη αντικείμενα μπορώ να βγάλω κάθε φορά;","ογκοδέματα"
"Τα ογκώδη αντικείμενα μένουν μέρες στο πεζοδρόμιο.","ογκοδέματα"
"Ποιες μέρες μαζεύετε ογκώδη αντικείμενα;","ογκοδέματα"
"Μπορώ να βγάλω ογκώδη αντικείμενα χωρίς ραντεβού;","ογκοδέματα"
"Υπάρχει πρόστιμο αν αφήσω ογκώδη αντικείμενα στον δρόμο;","ογκοδέματα"
"Τα ογκώδη αντικείμενα περιλαμβάνουν και ηλεκτρικές συσκευές;","ογκοδέματα"
"Δήλωσα ογκώδη αντικείμενα και δεν ήρθε κανείς.","ογκοδέματα"
"Πού αφήνω τα ογκώδη αντικείμενα μέχρι να έρθετε;","ογκοδέματα"
"Χρειάζεται να είμαι παρών όταν πάρετε τα ογκώδη αντικείμενα;","ογκοδέματα"
"Ποια ογκώδη αντικείμενα δεν παραλαμβάνετε;","ογκοδέματα"
"Πόσο γρήγορα μαζεύετε τα ογκώδη αντικείμενα;","ογκοδέματα"
"Τα ογκώδη αντικείμενα είναι από ανακαίνιση σπιτιού.","ογκοδέματα"
"Μπορεί η πολυκατοικία να δηλώσει ογκώδη αντικείμενα μαζί;","ογκοδέματα"
"Ποιο τηλέφωνο καλώ για ογκώδη αντικείμενα;","ογκοδέματα"
"Τα ογκώδη αντικείμενα εμποδίζουν τη διέλευση πεζών.","ογκοδέματα"
"Χρεώνεται η αποκομιδή ογκωδών αντικειμένων για επιχειρήσεις;","ογκοδέματα"
"Πόσο μεγάλα ογκώδη αντικείμενα παίρνετε;","ογκοδέματα"
"Δηλώνω ογκώδη αντικείμενα για συγκεκριμένη ημερομηνία.","ογκοδέματα"
"Τα ογκώδη αντικείμενα πρέπει να είναι δεμένα;","ογκοδέματα"
"Μπορώ να ακυρώσω τη δήλωση για ογκώδη αντικείμενα;","ογκοδέματα"
"Ποιος πληρώνει αν τα ογκώδη αντικείμενα δεν είναι δικά μου;","ογκοδέματα"
"Τα ογκώδη αντικείμενα ανακυκλώνονται;","ογκοδέματα"
"Πού βρίσκω το έντυπο για ογκώδη αντικείμενα;","ογκοδέματα"
"Τα ογκώδη αντικείμενα βγήκαν από μετακόμιση.","ογκοδέματα"
"Πόσες φορές τον μήνα μαζεύετε ογκώδη αντικείμενα;","ογκοδέματα"
"Κάποιος πέταξε ογκώδη αντικείμενα έξω από το σπίτι μου.","ογκοδέματα"
"Χρειάζεται να δηλώσω τι ογκώδη αντικείμενα θα βγάλω;","ογκοδέματα"
"Η αποκομιδή ογκωδών αντικειμένων γίνεται και Σαββατοκύριακο;","ογκοδέματα"
"Θέλω να μαζέψετε ένα παλιό ψυγείο από το πεζοδρόμιο.","ογκοδέματα"
"Πού δηλώνω έναν καναπέ για αποκομιδή;","ογκοδέματα"
"Πώς κλείνω ραντεβού για να πάρετε τα παλιά έπιπλα;","ογκοδέματα"
"Πόσο κοστίζει να πάρετε ένα στρώμα;","ογκοδέματα"
"Πόσο καιρό παίρνει να έρθει το φορτηγό για τα έπιπλα;","ογκοδέματα"
"Ποιο τμήμα μαζεύει τα παλιά έπιπλα;","ογκοδέματα"
"Γίνεται ηλεκτρονικά η δήλωση για τα παλιά αντικείμενα;","ογκοδέματα"
"Πόσα κομμάτια επίπλων μπορώ να βγάλω κάθε φορά;","ογκοδέματα"
"Το παλιό πλυντήριο μένει μέρες στο πεζοδρόμιο.","ογκοδέματα"
"Ποιες μέρες περνάει το συνεργείο για τα μεγάλα αντικείμενα;","ογκοδέματα"
"Μπορώ να βγάλω το ντουλάπι χωρίς ραντεβού;","ογκοδέματα"
"Υπάρχει πρόστιμο αν αφήσω παλιά έπιπλα στον δρόμο;","ογκοδέματα"
"Παίρνετε και ηλεκτρικές συσκευές;","ογκοδέματα"
"Δήλωσα το ψυγείο και δεν ήρθε κανείς.","ογκοδέματα"
"Πού αφήνω τον καναπέ μέχρι να έρθετε;","ογκοδέματα"
"Χρειάζεται να είμαι παρών όταν έρθει το συνεργείο για τα έπιπλα;","ογκοδέματα"
"Ποια αντικείμενα δεν παραλαμβάνετε;","ογκοδέματα"
"Πόσο γρήγορα έρχεται το συνεργείο για το στρώμα;","ογκοδέματα"
"Τα έπιπλα είναι από ανακαίνιση σπιτιού.","ογκοδέματα"
"Μπορεί η πολυκατοικία να δηλώσει τα έπιπλα όλα μαζί;","ογκοδέματα"
"Ποιο τηλέφωνο καλώ για να πάρετε το ψυγείο;","ογκοδέματα"
"Τα παλιά έπιπλα εμποδίζουν τη διέλευση πεζών.","ογκοδέματα"
"Χρεώνεται η αποκομιδή επίπλων για επιχειρήσεις;","ογκοδέματα"
"Πόσο μεγάλα αντικείμενα παίρνετε;","ογκοδέματα"
"Δηλώνω τα έπιπλα για συγκεκριμένη ημερομηνία.","ογκοδέματα"
"Πρέπει να είναι δεμένα τα παλιά χαλιά;","ογκοδέματα"
"Μπορώ να ακυρώσω τη δήλωση για τον καναπέ;","ογκοδέματα"
"Ποιος πληρώνει αν τα έπιπλα δεν είναι δικά μου;","ογκοδέματα"
"Ανακυκλώνονται οι παλιές συσκευές;","ογκοδέματα"
"Πού βρίσκω το έντυπο για την αποκομιδή επίπλων;","ογκοδέματα"
"Τα έπιπλα βγήκαν από μετακόμιση.","ογκοδέματα"
"Πόσες φορές τον μήνα περνάει το συνεργείο για τα έπιπλα;","ογκοδέματα"
"Κάποιος πέταξε ένα στρώμα έξω από το σπίτι μου.","ογκοδέματα"
"Χρειάζεται να δηλώσω τι ακριβώς έπιπλα θα βγάλω;","ογκοδέματα"
"Η αποκομιδή επίπλων γίνεται και Σαββατοκύριακο;","ογκοδέματα"
"Ρε παιδιά, έχω ένα ψυγείο να πετάξω, τι κάνω;","ογκοδέματα"
"Πότε θα έρθετε να πάρετε τα ογκώδη;","ογκοδέματα"
"Έβγαλα καναπέ και κάθεται μια βδομάδα στο πεζοδρόμιο.","ογκοδέματα"
"Πόσο κάνει να πάρετε τα ογκώδη αντικείμενα;","ογκοδέματα"
"Ποιον παίρνω τηλέφωνο για τα παλιά έπιπλα;","ογκοδέματα"
"Άλλαξα κουζίνα, πού τα πάω τα παλιά ντουλάπια;","ογκοδέματα"
"Θα φάω πρόστιμο αν αφήσω τα έπιπλα έξω;","ογκοδέματα"
"Δήλωσα τα ογκώδη και δεν ήρθε κανείς.","ογκοδέματα"
"Γίνεται online το ραντεβού για τα ογκώδη;","ογκοδέματα"
"Πόσα ογκώδη πράγματα μπορώ να βγάλω μαζί;","ογκοδέματα"
"Παίρνετε και πλυντήρια;","ογκοδέματα"
"Μετακομίζω και έχω πολλά ογκώδη.","ογκοδέματα"
"Πού να ακουμπήσω τα έπιπλα μέχρι να έρθετε;","ογκοδέματα"
"Κάποιος πέταξε στρώματα μπροστά στην πόρτα μου.","ογκοδέματα"
"Ποιες μέρες περνάτε για τα ογκώδη;","ογκοδέματα"
"Πρέπει να κατέβω κι εγώ όταν έρθετε για τα έπιπλα;","ογκοδέματα"
"Πόσο θα περιμένω για τα ογκώδη αντικείμενα;","ογκοδέματα"
"Έχω ένα τεράστιο ντουλάπι, το παίρνετε;","ογκοδέματα"
"Χρεώνεστε για το μαγαζί ή είναι δωρεάν η αποκομιδή;","ογκοδέματα"
"Πείτε μου τι πρέπει να κάνω για τα ογκώδη.","ογκοδέματα"
"Ανακυκλώνετε τις παλιές ηλεκτρικές συσκευές;","ογκοδέματα"
"Ήρθαν και πήραν τα μισά έπιπλα μόνο.","ογκοδέματα"
"Μπορώ να ακυρώσω το ραντεβού για τα ογκώδη;","ογκοδέματα"
"Έχει γεμίσει το πεζοδρόμιο με ογκώδη αντικείμενα.","ογκοδέματα"
"Δουλεύετε και Σάββατο για τα ογκώδη;","ογκοδέματα"
"Πού βρίσκω το έντυπο για τα ογκώδη;","ογκοδέματα"
"Να δέσω τα χαλιά ή να τα αφήσω έτσι;","ογκοδέματα"
"Βιάζομαι, παραδίδω το σπίτι την Παρασκευή και έχω έπιπλα.","ογκοδέματα"
"Πόσο μεγάλο αντικείμενο παίρνετε;","ογκοδέματα"
"Ο γείτονας πέταξε τα δικά του έπιπλα και κατηγορούν εμένα.","ογκοδέματα"
"Θέλω να καθαρίσετε ένα δημοτικό οικόπεδο δίπλα μου.","καθαρισμός_οικοπέδου_πυροπροστασία"
"Πού δηλώνω ακαθάριστο οικόπεδο του Δήμου;","καθαρισμός_οικοπέδου_πυροπροστασία"
"Ποια διαδικασία ακολουθώ για καθαρισμό οικοπέδου;","καθαρισμός_οικοπέδου_πυροπροστασία"
"Το οικόπεδο έχει γεμίσει ξερά χόρτα, κίνδυνος πυρκαγιάς.","καθαρισμός_οικοπέδου_πυροπροστασία"
"Πόσο καιρό παίρνει ο καθαρισμός του οικοπέδου;","καθαρισμός_οικοπέδου_πυροπροστασία"
"Ποιο τμήμα καθαρίζει τα δημοτικά οικόπεδα;","καθαρισμός_οικοπέδου_πυροπροστασία"
"Γίνεται ηλεκτρονικά η αίτηση για καθαρισμό οικοπέδου;","καθαρισμός_οικοπέδου_πυροπροστασία"
"Το οικόπεδο δίπλα μου είναι εγκαταλελειμμένο και επικίνδυνο.","καθαρισμός_οικοπέδου_πυροπροστασία"
"Ποιος ευθύνεται αν καεί ένα ακαθάριστο οικόπεδο;","καθαρισμός_οικοπέδου_πυροπροστασία"
"Δήλωσα το οικόπεδο και δεν ήρθε κανείς.","καθαρισμός_οικοπέδου_πυροπροστασία"
"Πρέπει να καθαρίσω εγώ το οικόπεδό μου για πυροπροστασία;","καθαρισμός_οικοπέδου_πυροπροστασία"
"Πόσο κοστίζει ο καθαρισμός δημοτικού οικοπέδου;","καθαρισμός_οικοπέδου_πυροπροστασία"
"Το οικόπεδο έχει φίδια και τρωκτικά από τα χόρτα.","καθαρισμός_οικοπέδου_πυροπροστασία"
"Μέχρι πότε πρέπει να καθαριστούν τα οικόπεδα;","καθαρισμός_οικοπέδου_πυροπροστασία"
"Υπάρχει πρόστιμο για ακαθάριστο οικόπεδο;","καθαρισμός_οικοπέδου_πυροπροστασία"
"Ζητώ αποψίλωση σε δημοτικό οικόπεδο της γειτονιάς.","καθαρισμός_οικοπέδου_πυροπροστασία"
"Ποιος ελέγχει αν καθαρίστηκε το οικόπεδο;","καθαρισμός_οικοπέδου_πυροπροστασία"
"Το οικόπεδο ανήκει στον Δήμο ή σε ιδιώτη;","καθαρισμός_οικοπέδου_πυροπροστασία"
"Πόσο γρήγορα καθαρίζετε ένα οικόπεδο μετά τη δήλωση;","καθαρισμός_οικοπέδου_πυροπροστασία"
"Χρειάζεται φωτογραφία του οικοπέδου στην αίτηση;","καθαρισμός_οικοπέδου_πυροπροστασία"
"Το οικόπεδο είναι δίπλα σε σχολείο, επείγει.","καθαρισμός_οικοπέδου_πυροπροστασία"
"Ποια στοιχεία δίνω για να βρείτε το οικόπεδο;","καθαρισμός_οικοπέδου_πυροπροστασία"
