"text","intent"
"Θέλω να ζητήσω τοποθέτηση παγκακιών στο προαύλιο του σχολείου.","παγκάκια"
"Πού κάνω αίτημα για συντήρηση παγκακιών σε σχολική αυλή;","παγκάκια"
"Τα παγκάκια στο σχολείο είναι σπασμένα.","παγκάκια"
"Ποια είναι η διαδικασία για νέα παγκάκια σε σχολική αυλή;","παγκάκια"
"Χρειάζονται βάψιμο τα παγκάκια του προαυλίου.","παγκάκια"
"Ποιος επισκευάζει τα παγκάκια στα σχολεία;","παγκάκια"
"Λείπουν παγκάκια από την αυλή του δημοτικού.","παγκάκια"
"Ένα παγκάκι έχει ξηλωθεί και είναι επικίνδυνο.","παγκάκια"
"Μπορεί ο Δήμος να τοποθετήσει παγκάκια στο γυμνάσιο;","παγκάκια"
"Πόσο καιρό παίρνει το αίτημα για παγκάκια;","παγκάκια"
"Τα ξύλα στα παγκάκια έχουν σαπίσει.","παγκάκια"
"Θέλω να δηλώσω κατεστραμμένο παγκάκι στο προαύλιο.","παγκάκια"
"Ποιος πληρώνει την αντικατάσταση των παγκακιών;","παγκάκια"
"Υπάρχει αίτηση για παγκάκια σε σχολικό χώρο;","παγκάκια"
"Τα παγκάκια έχουν καρφιά που ξεχωρίζουν.","παγκάκια"
"Ζητώ συντήρηση παγκακιών στην αυλή του σχολείου.","παγκάκια"
"Πόσα παγκάκια δικαιούται ένα σχολείο;","παγκάκια"
"Το παγκάκι έσπασε και τραυματίστηκε μαθητής.","παγκάκια"
"Ποιο τμήμα ασχολείται με τα παγκάκια των σχολείων;","παγκάκια"
"Χρειαζόμαστε παγκάκια στη σκιά για τα διαλείμματα.","παγκάκια"
"Έκανα αίτημα για παγκάκια και δεν απάντησε κανείς.","παγκάκια"
"Τα παγκάκια είναι βανδαλισμένα με γκράφιτι.","παγκάκια"
"Μπορεί ο σύλλογος γονέων να ζητήσει παγκάκια;","παγκάκια"
"Πρέπει ο διευθυντής να υπογράψει την αίτηση για τα παγκάκια;","παγκάκια"
"Τα παγκάκια στο προαύλιο δεν είναι στερεωμένα.","παγκάκια"
"Ζητώ αντικατάσταση παλιών παγκακιών στο νηπιαγωγείο.","παγκάκια"
"Υπάρχει κόστος για τα παγκάκια ή τα καλύπτει ο Δήμος;","παγκάκια"
"Το παγκάκι έχει σκουριάσει τελείως.","παγκάκια"
"Πώς δηλώνω ότι λείπουν παγκάκια από το γήπεδο του σχολείου;","παγκάκια"
"Χρειάζονται παγκάκια και στον χώρο αναμονής των γονέων.","παγκάκια"
"Τα παγκάκια μετακινήθηκαν και δεν ξαναμπήκαν στη θέση τους.","παγκάκια"
"Ποιος ελέγχει την ασφάλεια των παγκακιών στα σχολεία;","παγκάκια"
"Ζητώ επισκευή παγκακιού που έχει σπασμένο πόδι.","παγκάκια"
