intent,status,title,url,tfidf_score,tfidf_proposal,tfidf_alt,note,department
αγωγοι_αποχετευσης,proposed,Δήλωση Βλάβης ΔΕΥΑΗ,https://eservices.heraklion.gr/e-services/deyah/deyah-blabi.html,0.210,Χορήγηση άδειας διέλευσης και στάθμευσης οχήματος σε πεζόδρομους,Μονάδες Φροντίδας Προσχολικής Αγωγής & Διαπαιδαγώγησης,medium — η αποχέτευση είναι ΔΕΥΑΗ,
αδεια_οικοδομης,proposed,Έκδοση αδειών για οικοδομικές υπηρεσίες - μηνιαίες,https://eservices.heraklion.gr/e-services/build-permits.html,0.302,Έκδοση αδειών για οικοδομικές υπηρεσίες - μηνιαίες,Αντίγραφα στοιχείων οικοδομικών αδειών (έως το έτος 2018),"medium — «μηνιαίες» μοιάζει με δημοσίευση, όχι αίτηση",
αδεια_παραγωγου_αγροτη,proposed,Διαδικασία έκδοσης Βεβαίωσης Δραστηριοποίησης Ετήσιας Διάρκειας στις βραχυχρόνιες αγορές,https://eservices.heraklion.gr/e-services/katasthmata/ekdosh-vevaiwshs-drasthriothtas-ethsias-diarkeias.html,0.159,Άδεια Πολιτικού Γάμου για Αλλοδαπούς,Άδεια Πολιτικού Γάμου για Έλληνες Πολίτες,medium — ο αγρότης-παραγωγός ίσως έχει άλλη διαδικασία,
αδεια_πωλητη_υπαιθριου_εμποριου,proposed,Διαδικασία έκδοσης Βεβαίωσης Δραστηριοποίησης Ετήσιας Διάρκειας στις βραχυχρόνιες αγορές,https://eservices.heraklion.gr/e-services/katasthmata/ekdosh-vevaiwshs-drasthriothtas-ethsias-diarkeias.html,0.383,Καταγγελία (Λαϊκές αγορές-Πλανόδιο-Υπαίθριο εμπόριο,"Συντήρηση Υπαίθριων Χώρων (παιδικές χαρές,πάρκα)",medium — ίδια σελίδα με βεβαίωση δραστηριοποίησης;,
αιτηση_κιτρινης_διαγραμμισης,proposed,Χορήγηση άδειας οριζόντιας σήμανσης της εισόδου-εξόδου ιδιωτικού χώρου στάθμευσης,https://eservices.heraklion.gr/e-services/technical-services/parking.html,0.350,Διαγραφή οφειλής,"Θέματα Εκθέσεων Αυτοψίας (Ένσταση, Αποδοχή, Διαγραφή, Αναστολή Προστίμου Δήλωση κατεδάφισης)",medium — οριζόντια σήμανση εισόδου-εξόδου,
βεβαιωση_οφειλων_διας,proposed,Ηλεκτρονικές Πληρωμές Οφειλών,https://eservices.heraklion.gr/e-services/e-pay/e-pay.html,0.402,Βεβαίωση περί μη οφειλής εισφοράς σε χρήμα,"Βεβαίωση περί μη οφειλών (προσκύρωσης, αυθαίρετης κατασκευής, εισφοράς σχεδίου πόλης)",medium — κωδικός ΔΙΑΣ για πληρωμή,
διακοπη_ηλεκτροδοτησης,proposed,Ηλεκτροδοτήσεις οικιών - καταστημάτων και επανασυνδέσεις ΔΕΗ,https://eservices.heraklion.gr/e-services/ilektr.html,0.344,Ηλεκτροδοτήσεις οικιών - καταστημάτων και επανασυνδέσεις ΔΕΗ,Χορήγηση άδειας διακοπής κυκλοφορίας,medium — η σελίδα καλύπτει και επανασυνδέσεις,
επανασυνδεση_παροχης,proposed,Ηλεκτροδοτήσεις οικιών - καταστημάτων και επανασυνδέσεις ΔΕΗ,https://eservices.heraklion.gr/e-services/ilektr.html,0.393,Ηλεκτροδοτήσεις οικιών - καταστημάτων και επανασυνδέσεις ΔΕΗ,Αίτηση - ΥΔ για παροχή δωρεάν φαρμακευτικής περίθαλψης σε ανασφάλιστου,"medium — αν αφορά νερό, δεν ταιριάζει",
καθαρισμος_φρεατιου,proposed,Γενικό αίτημα καθαριότητας,https://eservices.heraklion.gr/e-services/cleanness/geniko-aitima-kathariotitas.html,0.469,Καθαρισμός δημοτικών οικοπέδων - Αποψίλωση,Αίτημα για οδοκαθαρισμό,medium — γενικό αίτημα καθαριότητας,
καταληψη_κοινοχρηστου_χωρου,proposed,Έκδοση αδειών κοινόχρηστων χώρων - Ετήσιες,https://eservices.heraklion.gr/e-services/year.html,0.534,Αίτημα για καθαριότητα κοινόχρηστου χώρου,Φύτευση σε κοινόχρηστους χώρους,medium — άδεια ή καταγγελία παράνομης κατάληψης;,
