code,name,tel,email,source,info_url,online
DEYAH,ΔΕΥΑΗ — Δημοτική Επιχείρηση Ύδρευσης Αποχέτευσης,"11122, 2810 339050",mail@deyah.gr,data/heraklion_eservices_enriched.json,,no
KOIMITIRIA,Δημοτικά Κοιμητήρια,"2810 231079, 2813 409681",kimitirio@heraklion.gr,heraklion.gr/municipality/contacts/thlefwna-yphresiwn.html,https://www.heraklion.gr/citizen/koimitiria/koimitiria.html,no
LIXIARXEIO,Ληξιαρχείο,"2813 409397, 409393",lixiarxio@heraklion.gr,heraklion.gr/municipality/contacts/thlefwna-yphresiwn.html,,no
DIMOTOLOGIO,Δημοτολόγιο,"2813 409327, 409350",dhmotologio@heraklion.gr,heraklion.gr/municipality/contacts/thlefwna-yphresiwn.html,,no
MITROO,Μητρώο Αρρένων,2813 409354,,heraklion.gr/municipality/contacts/thlefwna-yphresiwn.html,,no
POLEODOMIA,Πολεοδομία,"2813 409343, 409328",poleodomia@heraklion.gr,heraklion.gr/municipality/contacts/thlefwna-yphresiwn.html,,no
TEXNIKI,Τεχνική Υπηρεσία,"2813 409899, 409826",grammty@heraklion.gr,heraklion.gr/municipality/contacts/thlefwna-yphresiwn.html,,no
ADEIODOTISEIS,Αδειοδοτήσεις & Εμπορικές Δραστηριότητες,2813 409565,katasthmata@heraklion.gr,heraklion.gr/municipality/contacts/thlefwna-yphresiwn.html,,no
YPAITHRIO,Τμήμα Υπαίθριου Εμπορίου,"2810 286633, 330894",,data/heraklion_eservices_enriched.json,,no
PROSODOI,Τμήμα Ελέγχου Προσόδων,"2813 409138, 409426, 409434",prosodon@heraklion.gr,heraklion.gr/municipality/contacts/thlefwna-yphresiwn.html,,no
TAP,Τμήμα ΤΑΠ,"2813 409136, 409449",tap@heraklion.gr,heraklion.gr/municipality/contacts/thlefwna-yphresiwn.html,,no
KOINONIKA,Διεύθυνση Κοινωνικής Ανάπτυξης,2813 409112,social@heraklion.gr,heraklion.gr/municipality/contacts/thlefwna-yphresiwn.html,,no
KENTRO,Τηλεφωνικό Κέντρο Δήμου Ηρακλείου,2813 409000,,heraklion.gr/municipality/contacts/thlefwna-yphresiwn.html,https://www.heraklion.gr/citizen/contacts/thlefwna-yphresiwn.html,unknown
PROSXOLIKI,Τμήμα Προσχολικής Αγωγής (παιδικοί σταθμοί),"2813 409920, 921",prosxoliki@heraklion.gr,heraklion.gr/child/paidikoi + heraklion.gr/municipality/contacts/thlefwna-yphresiwn.html,https://www.heraklion.gr/child/paidikoi,unknown
