"intent","δείγματα","status","score","url","τίτλος","εναλλακτική_2","εναλλακτική_3"
"αίτηση_κίτρινης_διαγράμμισης","68","ΚΑΜΙΑ_ΥΠΗΡΕΣΙΑ","0.325","","Αίτηση για ασφαλτόστρωση - τσιμεντόστρωση - διάστρωση 3α","Διαγραφή οφειλής","Τροποποίηση τετραγωνικών κοινόχρηστου χώρου"
"άδεια_κολυμβητικής_δεξαμενής","68","ΚΑΜΙΑ_ΥΠΗΡΕΣΙΑ","0.297","","Βεβαίωση Υψομέτρου","Τοποθέτηση Πινακίδων Σήμανσης και Καθρεπτών","Κατασχέσεις"
"ληξιαρχική_πράξη_θανάτου","71","ΕΛΕΓΞΕ","1.195","https://eservices.heraklion.gr/e-services/register/liksiarxiki-praksi-thanatou.html","Χορήγηση αντιγράφου Ληξιαρχικής Πράξης Θανάτου","Δήλωση Θανάτου (αρθρα 32 & 33 ν.344/1976)","Χορήγηση αντιγράφου Ληξιαρχικής Πράξης Γεννήσεως"
"ληξιαρχική_πράξη_γάμου","70","ΕΛΕΓΞΕ","1.126","https://eservices.heraklion.gr/e-services/register/liksiarxiki-praksi-gamou.html","Χορήγηση αντιγράφου Ληξιαρχικής Πράξης Γάμου","Άδεια Πολιτικού Γάμου για Αλλοδαπούς","Δήλωση Γάμου (άρθρα 29 & 30 του ν. 344/1976)"
"αντίγραφα_άδειας_πολεοδομίας","69","ΕΛΕΓΞΕ","1.007","https://eservices.heraklion.gr/e-services/town-planning/antigrafo-fakelou-katagegramenou-aftheretou.html","Αντίγραφα φακέλου καταγεγραμμένου αυθαιρέτου","Αντίγραφα στοιχείων οικοδομικών αδειών (έως το έτος 2018)","Αντίγραφα στοιχείων αδειών δόμησης (μετά το έτος 2018)"
"αλλαγή_ιδιοκτησίας_ακινήτου","68","ΕΛΕΓΞΕ","0.995","https://eservices.heraklion.gr/e-services/town-planning/bebeosis-upobolos-dilosis-idioktisias.html","Βεβαίωση υποβολής δήλωσης ιδιοκτησίας","Υποβολή δήλωσης ιδιοκτησίας σε πολεοδομική μελέτη","Βεβαίωση ακριβούς διεύθυνσης ακινήτων"
"πράσινο_δένδρα","69","ΕΛΕΓΞΕ","0.879","https://eservices.heraklion.gr/e-services/technical-services/kladema-dentron-koinoxristous-xorous.html","Κλάδεμα δένδρων σε κοινόχρηστους χώρους","Απομάκρυνση - κοπή δένδρων σε κοινόχρηστους χώρους","Βεβαίωση Υψομέτρου"
"παράταση_μουσικής","68","ΕΛΕΓΞΕ","0.873","https://eservices.heraklion.gr/e-services/adeia-gia-moysika-idrymata/adeiodothsh-moysikwn-idrymatwn.html","Δικαιολογητικά Χορήγησης Άδειας ίδρυσης και λειτουργίας Ιδιωτικών Μουσικών Ιδρυμάτων και Χορωδιών κ.α.","Αδειοδότηση Ωδείων, Μουσικών Σχολών και Χορωδιών κ.α.","Διαχείριση Καλλιτεχνικής Δραστηριοτητας εντός της Παλιάς Πόλης"
"τοποθέτηση_δημοτικού_φωτισμού","71","ΕΛΕΓΞΕ","0.870","https://eservices.heraklion.gr/e-services/technical-services/topothetisi-fotistikon-somaton.html","Τοποθέτηση Φωτιστικών Σωμάτων","Βλάβες του δικτύου δημοτικού φωτισμού","ΤΑΠ - Τέλη Φωτισμού και Καθαριότητας"
"δημοτολόγιο","71","ΕΛΕΓΞΕ","0.864","https://eservices.heraklion.gr/e-services/municipal-roll/diorthosi-kiriou-onomatos.html","Διόρθωση κυρίου ονόματος","Μεταδημότευση αγάμου","Βεβαίωση Μόνιμης Κατοικίας Δημότη Ηρακλείου"
"βεβαίωση_οφειλών_διας","69","ΕΛΕΓΞΕ","0.839","https://eservices.heraklion.gr/e-services/economic-services/peri-mi-ofeilwn.html","Βεβαίωση περί μη οφειλών (προσκύρωσης, αυθαίρετης κατασκευής, εισφοράς σχεδίου πόλης)","Απαλλαγή προσαυξήσεων βεβαιωμένης οφειλής","Ηλεκτρονικές Πληρωμές Οφειλών"
"ρύθμιση_οφειλών","69","ΕΛΕΓΞΕ","0.831","https://eservices.heraklion.gr/e-services/economic-services/diakanonismos-ofilis-nomiko.html","Διακανονισμός οφειλής (Για νομικό πρόσωπο)","Διακανονισμός οφειλής (Για φυσικό πρόσωπο)","Απαλλαγή προσαυξήσεων βεβαιωμένης οφειλής"
"κάδοι_καθαριότητας","78","ΕΛΕΓΞΕ","0.797","https://eservices.heraklion.gr/e-services/cleanness/episkeuh-kai-antikatastash-kadwn.html","Επισκευή και αντικατάσταση κάδων απορριμάτων","Μετακίνηση, μεταφορά και τοποθέτηση κάδων απορριμάτων και ανακύκλωσης","Γενικό αίτημα καθαριότητας"
