"intent","status"
"Δελτία_Τύπου","χωρίς_ίδια_υπηρεσία"
"άδεια_κολυμβητικής_δεξαμενής","χωρίς_ίδια_υπηρεσία"
"άδεια_μικρής_κλίμακας","χωρίς_ίδια_υπηρεσία"
"άδεια_οικοδομής","έχει_υπηρεσία"
"άδεια_παιδότοπου","έχει_υπηρεσία"
"άδεια_παραγωγού_αγρότη","έχει_υπηρεσία"
"άδεια_πωλητή_υπαίθριου_εμπορίου","έχει_υπηρεσία"
"έλεγχος_λογαριασμού_ύδρευσης","έχει_υπηρεσία"
"αίτηση_γενικού_τεχνικού_περιεχομένου","έχει_υπηρεσία"
"αίτηση_εκταφής","χωρίς_ίδια_υπηρεσία"
"αίτηση_κίτρινης_διαγράμμισης","έχει_υπηρεσία"
"αίτηση_παραχώρησης_αποκλειστικής_θέσης_στάθμευσης_αμεα","έχει_υπηρεσία"
"αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου","έχει_υπηρεσία"
"αίτηση_ταφής_σε_οικογενειακό_τάφο","χωρίς_ίδια_υπηρεσία"
"αίτηση_χορήγησης_αντιγράφου_ήδη_χορηγηθείσας_βεβαίωσης","χωρίς_ίδια_υπηρεσία"
"αγορά_οικογενειακού_τάφου","χωρίς_ίδια_υπηρεσία"
"αγωγοί_αποχέτευσης","χωρίς_ίδια_υπηρεσία"
"αδέσποτα_ζώα","έχει_υπηρεσία"
"αλλαγή_ιδιοκτησίας_ακινήτου","έχει_υπηρεσία"
"αλλαγή_στοιχείων_λογαριασμού_ύδρευσης","χωρίς_ίδια_υπηρεσία"
"αναγγελία_κομμωτή","έχει_υπηρεσία"
"αναγγελία_τεχνίτη_άκρων","έχει_υπηρεσία"
"αντίγραφα_άδειας_πολεοδομίας","έχει_υπηρεσία"
"απαλλαγή_δημοτικών_τελών_covid","χωρίς_ίδια_υπηρεσία"
"ασφαλτόστρωση_οδού","έχει_υπηρεσία"
"βεβαίωση_αρτιότητας","χωρίς_ίδια_υπηρεσία"
"βεβαίωση_δραστηριοποίησης_υπαίθριου","έχει_υπηρεσία"
"βεβαίωση_εγκατάστασης_καταστήματος","έχει_υπηρεσία"
"βεβαίωση_κατοικίας","έχει_υπηρεσία"
"βεβαίωση_ορίων_ιδιοκτησίας","έχει_υπηρεσία"
"βεβαίωση_οφειλών_διας","έχει_υπηρεσία"
"βεβαίωση_χρήσης_γης","έχει_υπηρεσία"
"βεβαίωση_όρων_δόμησης","έχει_υπηρεσία"
"βλάβη_αγωγού_ύδρευσης","έχει_υπηρεσία"
"γενικές_υπηρεσίες","χωρίς_ίδια_υπηρεσία"
"δημοτική_ενημερότητα","χωρίς_ίδια_υπηρεσία"
"δημοτολόγιο","έχει_υπηρεσία"
"διακοπή_ηλεκτροδότησης","έχει_υπηρεσία"
"διακοπή_παροχής_ύδατος","χωρίς_ίδια_υπηρεσία"
"διακοπή_υδροδότησης","χωρίς_ίδια_υπηρεσία"
"διεύθυνση_οικοπέδου","έχει_υπηρεσία"
"είσοδος_έξοδος","χωρίς_ίδια_υπηρεσία"
"εγγραφή_σημείου_υδροληψίας","χωρίς_ίδια_υπηρεσία"
"εκτός_σχεδίου","έχει_υπηρεσία"
"ενοικίαση_οστεοφυλακίου","χωρίς_ίδια_υπηρεσία"
"ενοικίαση_τάφου","χωρίς_ίδια_υπηρεσία"
"επέκταση_δικτύου_ύδρευσης","χωρίς_ίδια_υπηρεσία"
"επανασύνδεση_παροχής","χωρίς_ίδια_υπηρεσία"
"επικαιροποίηση_στοιχείων_υδροληψίας","χωρίς_ίδια_υπηρεσία"
"επικοινωνία","χωρίς_ίδια_υπηρεσία"
"επισκευή_οδοστρώματος","έχει_υπηρεσία"
"θεώρηση_γραμμών","έχει_υπηρεσία"
"κάδοι_καθαριότητας","έχει_υπηρεσία"
"καθαρισμός_οικοπέδου_πυροπροστασία","έχει_υπηρεσία"
"καθαρισμός_φρεατίου","χωρίς_ίδια_υπηρεσία"
"καθρέφτης_ορατότητας","έχει_υπηρεσία"
"κατάληψη_κοινόχρηστου","έχει_υπηρεσία"
"κατάληψη_κοινόχρηστου_χώρου","έχει_υπηρεσία"
"ληξιαρχείο","έχει_υπηρεσία"
"ληξιαρχική_πράξη_γάμου","έχει_υπηρεσία"
"ληξιαρχική_πράξη_θανάτου","έχει_υπηρεσία"
"μείωση_τελών_λόγω_αναπηρίας","χωρίς_ίδια_υπηρεσία"
"μείωση_τιμολογίου","χωρίς_ίδια_υπηρεσία"
"μεταφορά_οστών","χωρίς_ίδια_υπηρεσία"
"μη_οφειλή_ταπ_ακίνητα","έχει_υπηρεσία"
"μη_οφειλή_ταπ_οικόπεδα","έχει_υπηρεσία"
"μητρώο_αρρένων","χωρίς_ίδια_υπηρεσία"
"νέα-ανακοινώσεις","χωρίς_ίδια_υπηρεσία"
"νέα_παροχή_ύδρευσης","χωρίς_ίδια_υπηρεσία"
"ογκοδέματα","έχει_υπηρεσία"
"οικοδομησιμότητα","έχει_υπηρεσία"
"παγκάκια","έχει_υπηρεσία"
"παιδικές_χαρές","έχει_υπηρεσία"
"παλαιότητα_1955","χωρίς_ίδια_υπηρεσία"
"παλαιότητα_1990","χωρίς_ίδια_υπηρεσία"
"παλαιότητα_κτίσματος","έχει_υπηρεσία"
"παλαιότητα_οδού","έχει_υπηρεσία"
"παλαιότητα_οικοπέδου","έχει_υπηρεσία"
"παράταση_μουσικής","έχει_υπηρεσία"
"πεζοδρόμιο","έχει_υπηρεσία"
"πιστοποιητικό_γέννησης","έχει_υπηρεσία"
"πιστοποιητικό_οικογενειακής_κατάστασης","έχει_υπηρεσία"
"πλησιέστεροι_συγγενείς","έχει_υπηρεσία"
"πράσινο_δένδρα","έχει_υπηρεσία"
"προέγκριση_άδειας_παιδότοπου","έχει_υπηρεσία"
"ρύθμιση_οφειλών","χωρίς_ίδια_υπηρεσία"
"σήμανση_οδοστρώματος","έχει_υπηρεσία"
"σήμανση_ονοματοθεσίας","έχει_υπηρεσία"
"στέγαστρο_οασα","χωρίς_ίδια_υπηρεσία"
"συμμετοχή_εμποροπανήγυρη","έχει_υπηρεσία"
"σύνδεση_φυσικού_αερίου","χωρίς_ίδια_υπηρεσία"
"τέλη_καθαριότητας_κοιμητηρίων","χωρίς_ίδια_υπηρεσία"
"τέλος_0_5","έχει_υπηρεσία"
"ταπ_διόρθωση_τετραγωνικών","έχει_υπηρεσία"
"ταπ_ηλεκτροδότηση","έχει_υπηρεσία"
"ταπ_μη_ηλεκτροδοτούμενα","έχει_υπηρεσία"
"τεχνική_υπηρεσία","έχει_υπηρεσία"
"τοποθέτηση_δημοτικού_φωτισμού","έχει_υπηρεσία"
"υψόμετρο","έχει_υπηρεσία"
"φωτισμός","έχει_υπηρεσία"
"χιλιομετρική_απόσταση","χωρίς_ίδια_υπηρεσία"
