"text","intent"
"Θέλω να καταθέσω δικαιολογητικά για έγκριση πρόσληψης προσωπικού στον παιδικό σταθμό.","έγκριση_πρόσληψης_προσωπικού_μφπαδ"
"Πού καταθέτω τα δικαιολογητικά πρόσληψης προσωπικού;","έγκριση_πρόσληψης_προσωπικού_μφπαδ"
"Ποια δικαιολογητικά χρειάζονται για την πρόσληψη προσωπικού σε βρεφονηπιακό σταθμό;","έγκριση_πρόσληψης_προσωπικού_μφπαδ"
"Πόσο καιρό παίρνει η έγκριση πρόσληψης προσωπικού;","έγκριση_πρόσληψης_προσωπικού_μφπαδ"
"Ποιος εγκρίνει την πρόσληψη προσωπικού στη μονάδα προσχολικής αγωγής;","έγκριση_πρόσληψης_προσωπικού_μφπαδ"
"Χρειάζεται πιστοποιητικό υγείας για την πρόσληψη προσωπικού;","έγκριση_πρόσληψης_προσωπικού_μφπαδ"
"Γίνεται ηλεκτρονικά η κατάθεση για πρόσληψη προσωπικού;","έγκριση_πρόσληψης_προσωπικού_μφπαδ"
"Πόσο κοστίζει η διαδικασία έγκρισης πρόσληψης προσωπικού;","έγκριση_πρόσληψης_προσωπικού_μφπαδ"
"Ποιο τμήμα εγκρίνει την πρόσληψη προσωπικού στους παιδικούς σταθμούς;","έγκριση_πρόσληψης_προσωπικού_μφπαδ"
"Θέλω να προσλάβω νηπιαγωγό, ποια είναι η διαδικασία πρόσληψης;","έγκριση_πρόσληψης_προσωπικού_μφπαδ"
"Χρειάζεται ποινικό μητρώο για την πρόσληψη προσωπικού;","έγκριση_πρόσληψης_προσωπικού_μφπαδ"
"Η πρόσληψη προσωπικού απαιτεί έγκριση πριν την έναρξη εργασίας;","έγκριση_πρόσληψης_προσωπικού_μφπαδ"
"Πόσο ισχύει η έγκριση πρόσληψης προσωπικού;","έγκριση_πρόσληψης_προσωπικού_μφπαδ"
"Ζητώ έγκριση πρόσληψης προσωπικού για βοηθό βρεφοκόμου.","έγκριση_πρόσληψης_προσωπικού_μφπαδ"
"Ποια πτυχία γίνονται δεκτά για την πρόσληψη προσωπικού;","έγκριση_πρόσληψης_προσωπικού_μφπαδ"
"Έκανα κατάθεση για πρόσληψη προσωπικού και περιμένω.","έγκριση_πρόσληψης_προσωπικού_μφπαδ"
"Χρειάζεται σύμβαση εργασίας για την έγκριση πρόσληψης;","έγκριση_πρόσληψης_προσωπικού_μφπαδ"
"Μπορεί ο λογιστής να καταθέσει τα δικαιολογητικά πρόσληψης;","έγκριση_πρόσληψης_προσωπικού_μφπαδ"
"Πόσα άτομα μπορώ να δηλώσω σε μία αίτηση πρόσληψης προσωπικού;","έγκριση_πρόσληψης_προσωπικού_μφπαδ"
